bedeutung;sachgruppe
Abgrund, unermessliche, gefährliche Tiefe;2800
Abhang, kleiner Berghang;2800
Waschlappen;5940
Waschlappen;5940
Waschschüssel für die Morgentoilette;7735
häufiges Abküssen;6332
Abladen, Herunternehmen der Ladung;7820
Schleuse, Vorrichtung an einem Gewässer zum Stauen oder Ablassen des Wassers oder zum Ableiten eines Teils des Gewässers in Nebenkanäle;2600
das Abfließenlassen des Wassers aus einem Bach/Kanal;2600
Zeitraum, in dem das Wasser abgelassen ist;9600
Zinserlass;7620
Ablass, Nachlass von auferlegten Strafen, die von dem Sünder nach seiner Umkehr noch zu verbüßen sind;8810
festgelegte Abfolge von Gebeten, die eine Bitte zum Inhalt haben;8820
Kreuzweg an der Südseite des alten Friedhofs in Oberstdorf;8850
kleine Handglocke, die beim Versehgang des Geistlichen mitgetragen und geläutet wird;8840
Stelle, an der etwas abfließt;7740
Fallrohr, senkrechtes, von der Regenrinne zum Erdboden führendes Rohr;7710
bis zum Lebensende existierendes Anrecht;5870
Ableger, Steckling;3010
Maschine, die das Getreide schneidet und auf dem Feld ablegt;7440
offene, schräg verlaufende Wasserabzugsrinne in einer Straße;7810
aus Ruten geflochtener Ring, mittels dessen die Deichsel mit dem Joch der Ochsen verbunden wird;7403
an einem Balken befestigter Ring zum Anhängen auf der Rückseite eines Schlittens;7405
Kuh, die nicht die notwendige Milchleistung erbringt und deshalb zum Schlachten vorgesehen ist;7450
Waschschüssel, Gefäß, das man zur Körperwäsche benutzt;5940
Waschschüssel, Gefäß, das man zur Körperwäsche benutzt;7735
Klosett, Toilette;7720
Klosett;7720
minderwertige, kleine Getreidekörner;3300
"Getreideabfall, Spreu (Spelzen und/oder Unkrautsamen); spez. Hülse, Spelze des Hafers";3300
Abfall bestehend aus kurzen Strohhalmen;3300
blecherne Schüssel zum Putzen;7735
Waschlappen;5940
Zentrifuge;7455
vom Vieh übriggelassene Futterreste;7400
unbrauchbares Futter, das von der Oberfläche eines Silos entfernt wird;7400
Futter, das im Spätherbst abgemäht wird;7401
Stroh, das von der Düngung mit Mist auf der Wiese übriggeblieben ist;7430
loses Heu, das man vom geladenen Heuwagen mit dem Rechen entfernt;7430
loses Heu, das man vom geladenen Heuwagen mit dem Rechen entfernt;7430
Ähren, die mit einem Rechen auf dem Getreidefeld zusammengebracht wurden;7440
Stroh, das von der Düngung mit Mist auf der Wiese übriggeblieben ist;7430
loses Heu, das man vom geladenen Heuwagen mit dem Rechen entfernt;7430
loses Heu, das man vom geladenen Heuwagen mit dem Rechen entfernt;7430
loses Heu, das man vom geladenen Heuwagen mit dem Rechen entfernt;7430
Schuhabsatz, erhöhter Teil der Schuhsohle unter der Ferse;5932
Anschlag für die Tür, Türschwelle;7720
loses Heu, das man vom geladenen Heuwagen mit dem Rechen entfernt;7430
Abscheu, Widerwille;6333
Abschied, Trennung von jemandem;7351
Rückvergütung, das Auszahlen eines Teils einer bereits gezahlten Summe als Rabatt/Gewinnbeteiligung;7600
Geschenk, das neben der Entlohnung mit Geld noch zusätzlich dem Dienstboten/dem gedungenen Schnitter nach Beendigung der Getreideernte gemacht wird;8330
vier bis zehn Meter langes Teilstück eines gefällten Baumstammes;3130
zerlegbares Gewehr meist von Wilderern genutzt;7550
Speiserest;5910
Abfall, der in einem feinmaschigen Sieb beim Reinigen des Getreides von der Oberfläche abgenommen wird;7440
das von einer Flüssigkeit oben Entfernte Schaum/Fett o. Ä.;9311
Fressgitter im Kuhstall;7410
Fressgitter im Kuhstall;7410
Torfstechen;7401
Spaten zum senkrechten Abstechen von Torf;7401
loses Heu, das man vom geladenen Heuwagen mit dem Rechen entfernt;7430
Beeinträchtigung;6320
Klosett;7720
Inhalt der Abortgrube;9233
Geschirrtuch;7780
Geschirrtuch;5930
Randstreifen an der Schmalseite des (eigenen oder anstoßenden) Ackers, auf dem der Pflug gewendet wird;7440
Pflege, Betreuung;5700
Unterbrechung des Einerleis;9800
Durchfall, Diarrhö;5700
Durchfall, Diarrhö;5700
Handbesen;7736
Waschlappen, Lappen zum Waschen des Körpers;5940
loses Heu, das man vom geladenen Heuwagen mit dem Rechen entfernt;7430
Abziehbild;7360
loses Heu, das man vom geladenen Heuwagen mit dem Rechen entfernt, oder vom Boden zusammenbringt;7430
loses Heu, das man vom geladenen Heuwagen mit dem Rechen entfernt;7430
Molke, Käsewasser der 1. und 2. Scheidung;7455
Ausruf, der ein Stöhnen ausdrückt;1230
fließendes Gewässer, Fluss, Bach;2600
Flussbett;2600
Flussebene;2800
Eisenband, das Kipfblock und Achsstock an der Hinterachse eines Wagens umschließt;7403
Achse, Teil, das zwei in Fahrtrichtung nebeneinander liegende Räder eines Fahrzeugs, Wagens verbindet;7403
Achsel, Schulter;5200
Achselhöhle;5200
Achselhöhle, (beim Menschen) grubenartige Vertiefung unter dem Schultergelenk;5200
großer Nagel, der Kipfblock, Grießbrett, Langwiede und Achsstock verbindet;7403
innerer Radnagel;7403
Verbindung zwischen dem Ende der Vorderachse und dem Vorderrad;7403
hölzerner Balken am Wagen, in den eine Rinne für die Achse eingelassen ist;7403
großer Nagel, der Kipfblock, Grießbrett, Langwiede und Achsstock verbindet;7403
Aufmerksamkeit, Beachtung;6210
Konzentration auf etwas anderes;6210
Meinung, Einschätzung;6260
Achtel, achter Teil eines Ganzen;9320
achtel Liter, 125 ml;9350
Mehlmaß, mit dem man das Mehl zum Backen aus der Mehltruhe holt;9350
geschwätzige Frau;6135
Zahl 8, Ziffer 8;9320
Spielkarte mit dem Spielwert acht;7380
Person, die im Jahr 1808 oder 1908 geboren ist;5110
alter Bauerntanz;8740
verbogene Felge und damit verbunden ein unregelmäßiger Lauf des Rades;7820
rundes oder längliches Zwei-Kreuzer-Brot;5910
acht Zentimeter dickes Brett;3130
Abwurfstange eines Hirsches mit acht Geweihenden;4130
kleine Haufen von Torf zu je acht Stück;2700
acht Zentimeter dickes Brett;3130
rundes oder längliches Zwei-Kreuzer-Brot;5910
Getreidesieb für die Gerste;7402
Abwurfstange eines Hirsches mit acht Geweihenden;4130
Respekt, Wertschätzung;6332
Achtung!, Vorsicht! Ruf, um zur Vorsicht oder Aufmerksamkeit zu mahnen;6210
Aufgepasst! militärisches Ankündigungskommand;8500
Zahl, Ziffer 80;9320
achtzigster Geburtstag;5860
Person, die im Jahre 1880 oder 1980 geboren ist;5110
Acker, mit dem Pflug bearbeitete, für den Anbau von Nutzpflanzen bestimmte Bodenfläche;7420
Wiese, die umgepflügt wird;7420
Wiese, die zweimal im Jahr gemäht wird;7420
Ackerboden, Erdreich eines Ackers;7440
Ackerboden, Erdreich eines Ackers;7440
Egge für einen Acker;7402
Grasfrosch Rana temporaria;4400
Ackerpferd, in der Landwirtschaft als Zugtier besonders für Ackergeräte eingesetztes schweres, kräftiges Pferd;4112
Pferd;4112
Peitsche, die vor allem bei der Feldarbeit zum Antreiben der Zugtiere verwendet wird;4111
Schmalseite eines Ackers;7420
Längsseite eines Ackers;7420
Grille im Feld;4700
Hacke zur Bearbeitung des Ackerbodens;3400
Behälter, in dem Essen aufs Feld gebracht wird;5910
kleiner, einachsiger Wagen mit einer Sitzbank für die Fahrt aufs Feld;7403
Erdreich eines Ackers;2700
Kleines Teufelsauge Adonis aestivalis;3500
zur Feldarbeit eingespannte Kuh;4111
kurze Strecke;7810
aus Himbeeren hergestellte Nascherei;5911
Rand des Ackers, Feldrand;7440
Grenzstreifen zwischen zwei Äckern;7440
Erhebung am Ackerrand;2800
Stock zum Entfernen der an der Pflugschar anhaftenden Erde;7402
gegabelter Stock zum Entfernen der an der Pflugschar anhaftenden Erde;7402
Kleines Teufelsauge Adonis aestivalis;3500
Stock zum Entfernen der an der Pflugschar anhaftenden Erde;7402
Futterrübe, Runkelrübe Beta vulgaris;3400
Feldsalat, Rapunzel Valerianella locusta;3400
Anhängevorrichtung am Traktor;7402
Holzgestell zum Transport eines Pfluges;7402
gespreizte Beine, unschickliche Spreizstellung der Beine bei Mädchen oder Frauen;5550
Mensch mit X-Beinen;5120
Ackerscholle;2700
Ackerscholle, beim Pflügen umgebrochenes großes, flaches Stück Erde;2700
Stock zum Entfernen der an der Pflugschar anhaftenden Erde;7402
Eisen mit einem kurzen Stiel zum Entfernen der an der Pflugschar anhaftenden Erde;7402
Egge mit nach oben gebogenen Handheben;7402
Wildes Stiefmütterchen Viola tricolor;3500
Zugtier besonders für Ackergeräte;4111
Maulwurfsgrille gryllotalpa vulgaris;4700
Wiese, die zuvor als Anbaufläche verwendet worden war;7440
Heiliger Adalbert Fest 23. April;8860
Adalbert männlicher Vorname;7120
Adalberta weiblicher Vorname;7120
erster, von Gott erschaffener Mensch, biblischer Stammvater;8820
Adam männlicher Vorname;7120
Adamsapfel;5240
Abfall beim Flachsschwingen;7490
Jauche, flüssiger Dünger aus tierischen Fäkalien;7430
adelige Herkunft;7010
Würde, Vornehmheit;9240
Pumpe zum Befördern der Jauche aus der Jauchegrube in das Jauchefass;7402
Jauchefass;7402
enttäuschter, verdrießlicher Gesichtsausdruck;5510
Jauchgrube;7410
Handpumpe zum Befördern der Jauche aus der Jauchegrube in das Jauchefass;7402
Adelgunde weiblicher Vorname;7120
Adelheid weiblicher Vorname;7120
Pumpe zum Befördern der Jauche aus der Jauchegrube in das Jauchefass;7402
Pumpe zum Befördern der Jauche aus der Jauchegrube in das Jauchefass;7402
Rinne im Stall, in der die flüssigen Ausscheidungen der Tiere abfließen;7410
Rinne, mittels der die Jauche in das Jauchefass fließt;7402
hölzernes Schöpfgefäß mit langem Stiel zum Einschöpfen der Jauche in das Jauchefass;7402
Jauchewagen;7820
Jauche, flüssiger Dünger aus tierischen Fäkalien;7401
Erschöpfung, Schwäche;5600
Blutgefäß, Ader, Vene bei Mensch und Tier;5320
Sehne an der Armbrust;8500
Wasserader, unterirdischer Wasserlauf;2600
(sich verzweigende) Linie in einem Stein, einer hölzernen Form oder Ähnlichem;2910
Veranlagung, Wesenzug;6200
Aderlass, Entnahme von Blut aus einer Vene als Heilbehandlung;5700
Adler Aquila;4220
Gasthaus mit dem Namen Adler;8110
Hakennase;5210
Mensch mit einer Hakennase;5120
große, gebogene Nase;5210
Maikäferart mit einem großen roten Fleck auf dem Rücken;4700
Adolf männlicher Vorname;7120
vierwöchige Zeit vor dem Weihnachtsfest;8860
Adventssonntag;8860
Adventskalender;8850
Adventskranz;8850
Sonntag im Advent;7310
Anwalt, Rechtsanwalt;8300
Affe Anthropoidea;4150
ungezogenes Kind;6111
eitler, dummer Mensch;6111
Mensch, der einen anderen neckt, provoziert;6111
manipulierbarer Mensch;6117
Spottname der Bewohner von Ehringen;7130
Rausch, Zustand der Trunkenheit;5925
eckiger Tornister der Infanterie mit Deckklappe, die meist mit rötlichem Rossfell bezogen war;8500
dumme, alberne Frau;6137
Schimpfwort;6111
sehr große Hitze;2200
Fernseher, Fernsehgerät;7730
kleiner, abgetrennter Raum in einer Gastwirtschaft;5920
Fernseher, Fernsehgerät;7730
Begebenheit, Ereignis;9100
Heilige Afra Fest 7. August;8860
Afra weiblicher Vorname;7120
minderwertiges Getreide, kleine Getreidekörner;3300
Spreu von gedroschenem Getreide;3300
zur Gerbung untaugliche Teile der Haut;7540
Hinterteil, hinterer Körperteil beim Rind;4111
Nachgeburt;5350
abgeschaffter Feiertag;7310
Spreu der Gerste, Hülsen und Grannen des Gerstenkorns;3340
längs um den Rumpf des Pferdes gehender, breiter Riemen mit Messingbeschlägen;4112
kleine, nach hinten gerichtete, verkümmerte Zehe am Fuß von Paarhufern;4111
minderwertiges Getreide, kleine Getreidekörner;3300
durch den Lehensmann weiterverliehener Teil eines Lehens;8221
Untermieter, Untermieterin;7700
Donnerstag;9600
Dienstag;9600
einhenkeliger Korb, mit dem die Frauen ihre Ware auf den Markt bringen;7735
großer Rechen zum Entfernen von liegen gebliebenem Heu von einer abgeernteten Wiese;7402
Frau, die liegen gebliebene Heureste mit einem Rechen von einer abgeernteten Wiese zusammentut;6134
liegengebliebene Heureste, die bei nochmaligem Rechen auf einer abgeernteten Wiese zusammenkommen;7430
Wipfel, spitz zulaufendes Endstück eines gefällten Baumes;3110
Afterzitze am Kuheuter;4111
minderwertiges Getreide, kleine Getreidekörner;3300
Afterzitze, kleine überzählige Zitze am Kuheuter;4111
minderwertiger, kleinkörniger Weizen;3320
kleine, nach hinten gerichtete, verkümmerte Zehe am Fuß von Paarhufern;4111
minderwertiges Getreide, kleine Getreidekörner;3300
Heilige Agathe Fest 5. Februar;8860
Agathe weiblicher Vorname;7120
Brot, das am Gedenktag der Heiligen Agatha geweiht wird;8810
Tag der Heiligen Agathe, 5. Februar;7330
steifstehende Spitzen;9220
(kleine) Bruchstücke des verholzten Pflanzenstengels von Flachs/Hanf;7490
Granne beim Getreide;3300
Nadel eines Nadelbaums;3100
grobmaschiges Getreidesieb;7402
Granne der Gerste;3300
dorniger Hauhechel Ononis spinosa;3500
Agnes weiblicher Vorname;7120
Agnus Dei, Teil der Liturgie, auch des Messgesangs;8700
Ahle, Werkzeug, mit dem Löcher in Leder, Pappe usw. gestochen werden;7505
Urgroßvater;5860
Großmutter;7100
Schwiegermutter;7100
sehr alte Frau;5165
Großmutter;5860
weiblicher Vorfahre;5860
Großvater;5860
undeutliches, dunkles Vorgefühl;6320
intuitives Wissen, Vermutung, Vorstellung;6240
Ahorn Acer L.;3100
im Gefängnis von Aichach inhaftierte Frau;7130
Akademiker;8410
Flachsabfall;7490
dorniger Hauhechel Ononis spinosa;3500
Bezahlung nach der erbrachten Stückzahl, Stücklohn;7500
Arbeitsverhältnis, in dem jemand nach Stückzahlen entlohnt wird;7500
Pauschale, Pauschalgebühr;7620
für die Mäharbeit in der Heuernte angestellte Person;7430
Sorgfalt, Genauigkeit;7780
Geburtshelfer;5820
Aland, Nerfling, Orfe, großer Karpfenfisch, der sehr viele Gräten hat Leuciscus idus;4310
Heiliger Alban Fest 22. Juni;7310
Spottname für die Bewohner von Walkertshofen;7130
Silberpappel Populus alba;3110
Albert männlicher Vorname;7120
Albertina weiblicher Vorname;7120
Albrecht männlicher Vorname;7120
Albus, Weißpfennig, aus einer Legierung mit hohem Gehalt an Silber hergestellte, kaum oxidierende Münze;7610
Möwe (Laridae), speziell Lachmöwe Chroicocephalus ridibundus;4200
Habicht Accipiter gentilis;4220
Alexander männlicher Vorname;7120
Heiliger Alexius Fest 17. Juli;7310
Alexius männlicher Vorname;7120
Alfons männlicher Vorname;7120
Alfred männlicher Vorname;7120
gut schmeckende Suppe;5911
Allee;3100
italienische Pappel (Populus italica), Pyramidenpappel Populus pyramidalis;3100
Pappel Populus;3100
Allerheiligen, Katholisches Kirchenfest zum Gedenken an alle Heiligen, 1. November;7310
Allerseelen, 2. November;7310
tägliche Andacht für die armen Seelen vom 1. bis zum 7. November;8840
normaler Verlauf, nichts Besonderes;9240
(sehr) dummer Mensch;6117
pfiffige, schlagfertige weibliche Person;6138
jemand, der gern in geschwätziger Weise (über nicht Anwesende) redet;6135
jemand, der gern in geschwätziger Weise (über nicht Anwesende) redet;6135
Person, die immer die schöne Seite herauskehrt;6119
Person, die alles macht;6114
junge Gans;4240
zwischen Bodensee und Lech gelegenes Alpen- und Voralpengebiet;8160
Bewohner des Allgäus;8160
im Allgäu beheimatet;8160
Ohnmacht, vorübergehende Bewusstlosigkeit;5700
sehr dummer Mensch;6127
gemeinsam genutztes Land, gemeinsam genutzte Güter;8221
Pastete;5911
Suppe, aus allerlei Bestandteilen, besonders aus mehreren Kloßarten und anderen Zutaten;5911
Werktag;9600
Alltagskleidung;5930
Alltagskleidung, an Werktagen getragene Kleidung;5930
an Werktagen getragener Schuh;5937
an Werktagen getragene Schürze;5934
an Werktagen getragener Strumpf;5937
weibliche Person, die jeden Winter krank ist;5700
Almosen, einem Bedürftigen gewährte kleinere Gabe;6500
Aloisia weiblicher Vorname;7120
Alois männlicher Vorname;7120
Sommerweide des Viehs im Gebirge, in den Alpen;7420
in den Alpen blühende Pflanzen;3500
Alpenrose Rhododendron ferrugineum oder Rhododendron hirsutum;3500
Auftrieb des Viehs auf die Bergweide im Frühsommer;7450
Alphorn;8730
Vorstand einer Genossenschaft von Alpbesitzern;7010
große Viehglocke für den Abtrieb von der Alp im Herbst;7450
Zeit im Sommer, die auf einer Alp verbracht wird;2500
Altwasser;2600
Balkon, balkonartiger Vorbau am Haus;7720
Dachterrasse;7720
prachtvoller (deckenhoher) Aufbau mit tischartigem Vorbau in der Kirche;8830
prachtvoll gestalteter Tisch in der Kirche, Volksaltar;8830
im Freien bei Prozessionen aufgestellter Altar;8850
Herrgottswinkel, Ecke (in katholischen Häusern), die mit dem Kruzifix (und auch anderen religiösen Bildern) geschmückt ist;7730
Altarbild, Gemälde, das sich über dem Altartisch erhebt;8830
Altartuch;8830
Altarleuchter, Kerzenständer am/auf dem Altar;8830
Stufe zum Altar;8830
Stufe zum Altar;8830
Altartuch, über den Altar gebreitetes Tuch;8830
Bauer im Altenteil;5860
Bewohner von Oberbayern und Niederbayern;8160
Bäuerin im Altenteil;5860
Kautabak;5920
vertraglich vereinbarte Unterhaltsleistungen der Erben bei der Besitzübergabe;7010
letzter Zeitabschnitt eines Lebens, hohe Anzahl an Lebensjahren;5860
"Anzahl der Lebensjahre, Lebenszeit; Lebensabschnitt";5800
Zeit des Bestehens, Vorhandenseins;9100
alte Menschen;5125
Altersheim;5860
vertraglich vereinbarte Unterhaltsleistungen der Erben bei der Besitzübergabe;7010
alter Knecht;7010
männliches Schaf älter als ein Jahr;4114
Freibier an Silvester;5910
Silvester, 31. Dezember;7310
Silvesterabend, Abend des 31. Dezembers;7310
Messe am Silvesterabend;8840
Silvesterabend, Silvesternacht;7310
kastrierter Eber, als erwachsenes Tier kastriertes männliches Schwein;4113
kleines Haus oder Zimmer für den Altenteiler, die Altenteilerin;7700
Haus für den Altenteiler, kleines separat gebautes Haus für den Bauern, der auf dem Altenteil sitzt;7700
sonntags nach dem Kirchgang getragene Kleidung;5930
Altwasser;2600
Altweibermühle, mühlenähnliche Vorrichtung, in der im Spaß alte Frauen wieder in junge Mädchen verwandelt werden;7300
Spottname von Zusamaltheim;8150
getrockneter Rosmarinzweig;3700
Rossminze Mentha longifolia;3700
Schönheit bei alten Frauen;5210
Nachsommer, sonnige, warme Nachsommertage;2500
Zinnie Zinnia elegans Jacq.;3800
Tagetes, Studentenblume Tagetes;3800
Tanz alter Frauen;8740
gering zu achtender (körperlicher) Schmerz;5700
Kurzform für Aluminium;9230
Amalie weiblicher Vorname;7120
Pflaume;3120
dumme, einfältige Frau;6137
bestimmte Stellung und Lippenspannung beim Blasen eines Instrumentes;8730
Amboss, eiserner Block mit ebener Fläche, auf dem der Schmied das Eisen schmiedet;7530
Dengelstock;7402
im Dengelstock eingelassene (eiserne) Unterlage zum Dengeln;7402
Ambros, Ambrosius männlicher Vorname;7120
Grummet, durch den zweiten Schnitt innerhalb eines Jahres gewonnenes Heu;7450
durch den dritten Schnitt innerhalb eines Jahres gewonnenes Heu;7450
Zeit der Grummeternte, Zeit der zweiten Heuernte innerhalb eines Jahres;7400
Bärenklau, Heracleum sphondylium;3500
Grummet, durch den zweiten Schnitt innerhalb eines Jahres gewonnenes Heu;7450
Zeit der Grummeternte, Zeit der zweiten Heuernte innerhalb eines Jahres;7450
Wagenladung Grummet;7450
Wagenladung Grummet;7450
Gabel zum Aufladen von Grummet;7402
Zeit der Grummeternte, Zeit der zweiten Heuernte innerhalb eines Jahres;7400
Zeit der Grummeternte, Zeit der zweiten Heuernte innerhalb eines Jahres;7450
Zeit der Grummeternte, Zeit der zweiten Heuernte innerhalb eines Jahres;7450
Puppe der Ameise;4700
Ameisenhaufen, von Ameisen gebauter Erdhügel;4700
Sauerkirsche Prunus cerasus;3120
langweilige, stumpfsinnige Frau;6134
Amen, Abschlussformel bei einem Gebet/Segen od. Ä;8820
Sehnsucht;6320
Verlangen, Gelüste nach einer bestimmten Speise;5910
die Obrigkeit vertretender Beamter;8210
Gemeindevorsteher, Bürgermeister;8210
Goldammer Emberiza citrinella;4210
Petroleumlampe;7760
Verkehrsampel;7810
Milchgefäß für den Transport in die Molkerei;7455
großer, weitbauchiger Bierkrug;5920
alkoholsüchtige oder betrunkene Frau;6134
Milchgefäß für den Transport in die Molkerei;7455
Petroleum aus Erdöl gewonnene brennbare Flüssigkeit;7760
Angewohnheit, Eigenart, Marotte;6260
Amsel, Schwarzdrossel Turdus merula;4210
weibliche Person;6137
lebhaftes, lustiges Mädchen;5173
Tätigkeit bei einer öffentlichen Dienststelle, (offizielle) Aufgabe innerhalb einer Gemeinschaft;8210
Behörde, Dienststelle;8220
katholischer Gottesdienst mit Gesang des Priesters;8840
Amtspersonen in leitender Stellung;8220
Amtsperson in leitender Stellung;8220
Amtsdiener, amtliche Person, die ausstehende Geldbeträge kassiert;8220
Amtsmiene;5510
Amtsschimmel, Bürokratismus;8220
Amulett;8810
Person, die sich an eine andere anschmiegt;6310
Ananaspflanze;3210
gelbfleischige Frucht der Ananaspflanze;3210
Erdbeerpflanze;3210
Erdbeere, rote, fleischig aromatische Frucht der Erdbeerpflanze;3210
Anastasia weiblicher Vorname;7120
Anastasius männlicher Vorname;7120
Anbau, angebauter Gebäudeteil;7720
Person, die aufschichtet;3130
Anbetung, betende Verehrung;8840
bis zu einem 1/2 Jahr altes (weibliches) Kalb, das zur Zucht großgezogen wird;4111
weibliches Kalb, das zur Zucht großgezogen wird;4111
bis zu 3 Monate altes Kalb, das zur Zucht großgezogen wird;4111
Einbinden einer Münze in das Taufkissen;7322
Andacht, Sammlung der Gedanken im Gebet;8840
Gottesdienst mit Gebeten zu einem bestimmten religiösen Thema;8840
Kuh nach dem ersten Kalben;4111
Kuh, die zum zweiten Mal trächtig ist;4111
Kuh nach dem zweiten Kalben;4111
zweites Kalb einer Kuh;4111
Schwein, das zum zweitenmal Ferkel hat;4113
Ferkel vom zweiten Wurf eines Schweins;4113
Kuh, die zum zweiten Mal gekalbt hat;4111
Heiliger Andreas Fest 30. November;7310
Andreas männlicher Vorname;7120
Zusammenkunft von (meist männlichen) Dorfbewohnern, bei der dörfliche Angelegenheiten geregelt werden;8220
Schnee, der um den 30. November fällt;2200
Tag des hl. Andreas, 30. November;8860
Raureif;2200
überdachter balkonartiger Anbau am Haus;7720
Tanz am Abend bei einer Hochzeit, nachdem das Brautpaar das Hochzeitsfest verlassen hat;7321
Vorbeigehen, Vorübergehen;7810
Anfall, plötzliches Auftreten und Wiederabklingen krampfartiger Symptome einer physischen oder psychischen Krankheit;5700
Beginn einer zeitlichen Gegebenheit;9313
Beginn einer örtlichen Gegebenheit;9313
Person, die an der Dreschmaschine das Stroh zu einem losen Bündel sammelt;7440
Umrandung von Fenstern und Türen im Blockhaus;7720
Bauchschmerzen, Kolik bei Mensch und Tier;4000
Rauschbrand;4111
geschwollene Augen beim Rind;4111
junge Baumpflanze, die aus einem durch den Wind verbreiteten Samen entstanden ist;3100
dünner Überzug der plötzlich da ist, wie herbeigeflogen;9230
Anfrage;6410
Laib Brot, den die Begleitperson des seinen ersten/neuen Arbeitsplatz antretenden Jugendlichen von der Frau des zukünftigen Arbeitgebers geschenkt bekam;5910
(schwieriger) Anfang;9313
Prahler, Wichtigtuer;6280
Eisenband;7530
Vorteig beim Brotbacken;5910
Anbau am Haus;7720
Bienenstachel, Wespenstachel;4700
Gerät bestehend aus einer Rute, einer Schnur und einem Haken;7570
Angelhaken;7570
Türangel, Drehscharnier an der Tür;7720
Spreu von Getreide, speziell Getreidegranne;3300
(kleines) Bruchstück der verholzten Pflanzenstengel von Flachs/Hanf, holziger Abfall beim Flachs-/Hanfbrechen;7490
Angela weiblicher Vorname;7120
Stachel der Biene;4700
Angelhaken, Haken am Ende der Angelschnur;7570
Angelika weiblicher Vorname;7120
Angelrute;7570
in der Nähe eines landwirtschaftlichen Anwesens gelegene Wiese (mit Obstbäumen), auch Flurname;7420
innerhalb eines Dorfes gelegene Wiese, die auch gemeinschaftlich genutzt wird;7420
leicht abfallende Wiese;7420
in der Nähe eines landwirtschaftlichen Anwesens gelegener (umzäunter) Acker;7420
getrocknetes Gras von einer nahe bei einem landwirtschaftlichen Anwesen gelegenen Wiese;5910
gebrauchsfertige Vorrichtung, funktionierende Einrichtung;7500
Runkelrübe, Futterrübe Beta vulgaris;3400
Vorteig beim Brotbacken;5910
Gewohnheit;6260
Halsentzündung;5700
Angriff, Eröffnung eines Kampfes;8500
Angst, Furcht;6320
Andacht an den Donnerstagabenden der Fastenzeit;8840
(wilde) Stachelbeere Ribes uva-crispa;3210
Trinkgefäß mit engem Hals;5920
Stachelbeere Ribes uva-crispa;3210
Kind, um das die Eltern immer Sorgen machen;5830
das Glockenläuten an jedem Donnerstagabend;8850
Zylinderhut;5933
an das Haus angebauter Schuppen;7720
Niederschlag in Form von Reif, Schnee, der an Bäumen hängt;2200
angehängte (große) Holzscheite zum Bremsen eines Transportschlittens;3130
Familie, Angehörige, Bekannte;7100
