lemma;bedeutung;sachgruppe
ab-binden;/die Wurst zubinden/;7565
ab-binden;den lockeren Reifen ... neu aufziehen;7403
ab-binden;den Dachstuhl ... einrichten;7520
ab-binden;verprügeln;5521
ab-binden;der Braut den Schleier abnehmen;7321
ab-binden;im Handel ... betrügen;7600
ab-binden;übermäßig essen;5910
ab-binden;fest werden vom Mörtel;7510
Ab-biß;böser Mensch;6112
Ab-bitte;wie schd »Abbitte;6420
ab-bitten;wie schd »abbitten;6410
ab-bitten;sein Amt niederlegen;7010
ab-blasen;durch Blasen entfernen;5330
ab-blasen;rückgängig machen;6420
ab-blatern;in Blasen sich ablösen;9311
ab-blatten;... Blätter an Rüben ... zur Futtergewinnung abbrechen;7450
ab-blättern;sich blattartig ablösen;9311
ab-bleien;mit der Wasserwaage nivellieren;7510
ab-bleien;Richtung feststellen;9500
ab-bleien;ausfindig machen, erlauschen;5400
ab-bleien;mit der Wasserwaage prügeln;5521
ab-blenden;wie schd »abblenden;7820
ab-blenden;/Vögel abschrecken/;7480
ab-bleuen;durchprügeln;5521
ab-blitzen;abweisen;6400
ab-bocken;/Mist durch Kippen abwerfen/;7430
ab-bocken;einen Baum, der ... sich verfangen hat, absägen;7550
ab-bolzen;durch Balken abstützen;7510
ab-bößeln;die ungeöffnete Garbe leicht ausdreschen;7440
ab-bößeln;/am Strohbündel überstehende Halme abschlagen/;7440
ab-boßen;die ungeöffnete Garbe leicht ausdreschen;7440
ab-boßen;durchprügeln;5521
ab-boßen;sich abmühen;5540
Ab-brändler;ein Abgebrannter, der ... Spenden sammelt;6410
ab-brasten;sich abmühen;5540
ab-brechen;durch Brechen...ein Stück vom Ganzen lösen;9311
ab-brechen;Abzüge machen, verkürzen (ü);9800
ab-brechen;sich schwer tun bei der Arbeit;5540
ab-brechen;unterbrechen;9800
ab-brechen;durch Brechen entzweigehen (gegenst);9800
ab-brechen;furzen (ü);5300
ab-brennen;wie schd »abbrennen;9800
ab-brennen;ohne Geld sein, mittellos (ü);7600
ab-brennen;/Gras abbrennen/;7430
ab-brennen;/Feuerwerk abbrennen/ s;7300
ab-bringen;abreißen, abbrechen, abtrennen u.ä.;9311
ab-bringen;etwas fertigbringen;6420
ab-bringen;einen von etwas...abbringen;6420
ab-brockeln, -bröckeln;in kleinen Brocken abfallen;9311
ab-brockeln, -bröckeln;kleine Brocken abbrechen;9311
Ab-bruch;das Abbrechen eines Gebäudes;9800
Ab-bruch;/durch Furche bezeichnete Grenze zwischen Wingerten/;7470
Ab-bruch;quer zu den Rebzeilen verlaufender Gang;7470
Ab-bruch;/beim Getreidereinigen ausgesonderter Abfall/;7440
Ab-bruch;weniger essen als man sollte;5910
Ab-bruch;durch Abwendigmachung der Kundschaft geschäftlich schädigen;7600
Abbruch-brett;Brett, das in der Windmühle den Abbruch nach unten leitet;7580
Abbruch-spelz;Abfallspelz;7440
ab-brühen;durch siedendes Wasser weich machen;9800
ab-brühen;unempfindlich gegen Vorwürfe;6510
ab-brüllen;sich müde brüllen;5560
ab-brummen;Strafe absitzen;8300
ab-brusten;durch große Anstrengung ermüden;5540
Ab-bund;das Abbinden des Gebälks, bes. des Dachstuhls;7520
Ab-bund;/Platz, auf dem das Gebälk probeweise zusammengesteckt wird/;7520
ab-bürsten;wie schd »abbürsten;5520
ab-büßen;seine Übeltat sühnen;6420
ABC;das Alphabet;8400
ABC-Buch;Fibel;8400
Ab-cherns;/Ballspiel für Mädchen/;7360
ABC-Schisser;Lernanfänger;8400
ABC-Schüler;Lernanfänger;8400
ABC-Schütze;Lernanfänger;8400
ABC-Spiel;/Kinderspiel/;7360
ABC-Stritzer;Lernanfänger;8400
ab-dabern;die eiternde Geschwulst von Eiter befreien;5700
ab-dachsen;ausreißen, davonlaufen;5530
ab-dachteln;verhauen;5521
ab-dackeln;abkanzeln, herunterputzen;6420
ab-dämmen;durch Dämmen unter Wasser setzen;7450
ab-dämmen;Waldbrand durch Aufwerfen von Gräben bekämpfen;7550
ab-dampfen;mit dem Zuge abreisen;7830
ab-dämpfen;/Kalk trocken ablöschen/;7510
ab-danken;ein Amt niederlegen;6420
ab-danken;entlassen;6420
ab-deckeln;die Deckel von den Waben abnehmen;7460
ab-decken;das Haus, das Dach a.;7710
ab-decken;den Tisch abräumen;7780
ab-decken;die Bettdecke zurückschlagen;7780
ab-decken;ein verendetes Tier enthäuten;7450
Ab-decker;Schinder;7450
Ab-deckerei;Schindanger;7450
ab-deichseln;abwenden;6420
ab-dienen;eine festgesetzte Zeit hindurch dienen;6420
ab-disputieren;etwas abstreiten;6440
ab-dolen;mittels Dole entwässern;7900
Abdons-tag;Tag des heiligen Abdon;8860
ab-drehen;durch Drehen abbrechen, abtrennen, abreißen;5520
ab-drehen;durch Drehen abnutzen;9800
ab-drehen;auf der Drehbank rund drehen;7520
ab-drehen;durch Umdrehen des Schlüssels die Tür abschließen;7700
ab-drehen;abschalten;9800
ab-drehen;durch geschicktes Spiel abgewinnen;7370
ab-drehen;/eine andere Richtung einschlagen/;9800
ab-dreschen;mit dem Dreschflegel obenhin dreschen;7440
ab-dreschen;gehörig durchprügeln;5521
ab-drücken;durch Drücken entfernen;9800
ab-drücken;umarmend immer wieder an sich drücken;6332
ab-drücken;sterben;5870
Abdrucks-bildchen;/Umkehrdruck, wird durch Reiben auf Unterlage entwickelt/;7360
ab-dudeln;/Seil, Garn abrollen/;9800
ab-dudeln;durchprügeln;5521
ab-dudeln;sich müde arbeiten;5540
ab-dulfen;verprügeln;5521
abe;hinab;9500
abe-fallen;hinabfallen;9800
abe-gehen;hinabgehen;5530
ab-eggen;mittels der Egge auf dem Acker...liegendes Unkraut...zus.schleifen;7440
ab-einander;auseinander;9311
Abend;Zeit vom Eintritt der Dämmerung bis zum Beginn der Nachtruhe;9600
Abend;bunter Unterhaltungsabend;7300
Abend;Vorabend eines großen Festtages;7300
Abend;Westen;9500
Abend;Arsch (RA);5200
Abend-blume;Blume, die vor Einbruch der Dunkelheit ihren Kelch schließt;3500
Abend-brot;Vieruhressen;5910
Abend-brot;am Abend als Entlohnung ausgegebener Brotlaib;5910
Abend-dämmerung;wie schd »Abenddämmerung;2100
Abend-duft;bittersüßer Nachtschatten;3500
Abend-essen;Vieruhressen, Vesper;5910
Abend-essen;wie schd »Abendessen;5910
Abend-flappe;/letzter Schlag, den s. Kinder abends vor dem Auseinandergehen geben/;5520
Abend-gebet;wie schd »Abendgebet;8840
Abend-gelb;gelber Himmel am Abend;2100
Abend-himmel;der Himmel am Abend;2100
Abend-kaffee;Benennung der Kartoffel (sch);3400
Abend-luft;frische Luft am Abend;2300
Abend-mahl;das kirchlich heilige Abendmahl;8840
Abendmahls-brot;wie schd »Abendmahlsbrot;8830
Abendmahls-kelch;wie schd »Abendmahlskelch;8830
Abendmahls-kleider;s;5934
Abendmahls-krug;wie schd »Abendmahlskrug;8830
Abendmahls-schuhe;wie schd »Abendmahlsschuhe;5937
Abendmahls-wein;wie schd »Abendmahlswein;8830
Abend-milch;Milch, die am Abend gemolken wird;7455
Abend-nebel;wie schd »Abendnebel;2200
Abend-patsche;letzter Schlag, den die Kinder einander beim Gutenachtsagen geben;5520
Abend-rot;Röte am westlichen Himmel nach Sonnenuntergang;2100
abends;wie schd »abends;9600
Abend-schoppen;wie schd »Abendschoppen;5920
Abend-schule;Abendunterricht für Fortbildungsschüler;8400
Abend-segen;das aus einem Gebetbuch gelesene Abendgebet;8850
Abend-sonne;Sonne vor dem Untergang;2100
Abend-stern;wie schd »Abendstern;2100
Abend-stunde;Stunde am Abend;9600
Abend-tau;wie schd »Abendtau;2200
Abend-ürte;Abendzeche;5910
Abend-zehre, -zehren;Abendessen;5910
Abend-zehrung;Abendessen;5910
Abend-zeit;wie schd »Abendzeit;9600
aber;entgegenstellend;9300
aber;den Gefühlsausdruck steigernd;9200
aber;oder;1110
aber;abermals, wieder;9400
aberchen;fleißig, eifrig;6405
abere;herab, abwärts;9500
Aber-glaube;wie schd »Aberglaube;8810
aber-gläubig, -gläubisch;wie schd »abergläubig, abergläubisch;8810
aberig;sich verrückt gebärdend;6270
aber-mals;wie schd »abermals;9400
abern, äbern;sich tummeln;5570
abern, äbern;sich wehren;6440
aber-sengert;aber sicher, ei gewiß;6440
Aber-, Äber-wachs;Nachwuchs der ausgefallenen Getreidekörner auf dem...Acker;7440
Aber-, Äber-wachs;Auswuchs der Getreidekörner auf dem Halm infolge Nässe;7440
Aber-wille;Widerwille;6440
aber-willig;ekelerregend;6320
aber-witzig;trotzig, eigensinnig;6405
Äber-zain;/Blattwinkeltrieb des Weinstocks, seltener Obstbaums/;7470
Äber-zwacken;/Blattwinkeltrieb des Weinstocks, seltener Obstbaums/;7470
abe-schlagen;herabschlagen;5520
ab-essen;etwas von etwas herunteressen;5910
ab-essen;fertig sein mit Essen;5910
Ab-essen;Rest einer Speise, eines Getränkes;5910
ab-fädeln;Faden entfernen;5520
ab-fädeln;abwickeln;5520
ab-fädemen;Faden entfernen;5520
ab-fäden;Faden entfernen;5520
Abfahr-brenke;kübelähnliches Gefäß mit niedrigem Rand;7470
ab-fahren;die Fahrt beginnen;7850
ab-fahren;plötzlich abbrechen, -reißen (usw.) und wegspringen;9311
ab-fahren;abgleiten;9800
ab-fahren;durch Fahren abnützen;7820
ab-fahren;sich entfernen (ü);5532
ab-fahren;von sich weisen;6440
ab-fahren;sterben;5870
ab-fahren;abtransportieren;7800
ab-fahren;durch das Gewicht des Fahrzeugs abtrennen;7820
ab-fahren;entlangfahren;7820
Ab-fahrt;Abreise mittels Fahrzeugs;7850
Abfahrts-plätsche;Befehlsstab des Fahrdienstleiters (sch);7830
Ab-fall;auf dem Acker abgefallene Getreidekörner;7440
Ab-fall;Abfall beim Keltern...;7470
Ab-fall;Hiebe, Schläge;5521
ab-fallen;sich lösen und herabfallen;9311
ab-fallen;Es gibt Schläge;5521
ab-fallen;ein Geschenk, ein Trinkgeld ist zu erwarten;6450
ab-fallen;senkt sich zu Tal;2800
ab-fallen;abmagern;5700
ab-fallen;das Bekenntnis wechseln;8800
Abfall-holz;Holz, das bei der Verarbeitung übrigbleibt;7520
Abfall-holz;die abgeschnittenen Rebschosse;7470
ab-fällig;wie schd »abfällig;6440
Ab-fallsel;Abfall;9300
Abfall-wurst;Wurstreste beim Fleischer;7565
ab-fangen;bis auf den letzten fangen (von Fischen);7570
ab-fangen;auflauernd festnehmen;8230
ab-fangen;vor dem Verenden schlachten;7450
ab-fangen;einen Wasserlauf...ableiten;7900
ab-fangen;den obstbeladenen Ast...abstützen;7480
ab-fangen;lauschend erhaschen;5420
ab-fangen;Schläge bekommen;5521
ab-fangen;beim Spiel den Ball wegfangen;7360
ab-fangen;einem mit dem Neujahrswunsch zuvorkommen;7310
ab-färben;Farbe lassen;9800
ab-färben;/Moden, Gewohnheiten übernehmen/;6260
ab-fassen;Getreide in Säcke fassen;7440
ab-fassen;(einen geworfenen Gegenstand) auffangen;5520
ab-fassen;dem Dieb auflauern und ihn abfangen;8230
ab-fassen;am Rande umbiegen;9800
ab-fassen;Schläge bekommen;5521
ab-faukeln;auf betrügerische Weise ablisten;6510
ab-faulen;durch faulen sich von etwas lösen;9311
ab-fechten;in einer Straße bettelnd von Haus zu Haus gehen;6410
ab-fegen;mit einem Staubtuch oder -besen abwischen;7780
ab-fegen;die Meinung sagen;6333
ab-feimen;den Schaum abschöpfen;5910
ab-feuern;schießen;8500
ab-feuern;sich rasch entfernen;5533
ab-fickeln;durch Reibung abschürfen;9800
ab-filzen;Mörtel...abreiben, glätten;7510
ab-filzen;Schläge geben, eigentl. mit dem Filz schlagen;5521
ab-finden;einen hinsichtlich eines Anspruchs zufriedenstellen;6420
ab-finden;etwas als unvermeidlich hinnehmen;6260
ab-fingern;abtasten;5520
ab-fischen;leer fischen;7570
ab-fisen;Fasern lassen;5931
ab-fisern;Fasern lassen;5931
ab-fitschen;durch Fitschen (Reiben) abnützen;9800
ab-fitzen;mit einer Rute durchhauen;5521
ab-flackern;sterben;5870
ab-flappchen;mit einem flachen Gegenstand durchhauen;5521
ab-flatschen;mit einem flachen Gegenstand durchhauen;5521
ab-flattchern;sterben;5870
ab-flattern;sterben;5870
ab-flauen;wie schd »abflauen;2300
ab-fließen;wie schd »abfließen;7900
ab-flitschen;in dünnen Scheiben ruckartig wegschneiden;9311
ab-flohen;von Flöhen befreien;5940
ab-flohen;im Spiel (bes. Klickerspiel) alles abgewinnen (sch);7370
ab-flohen;durchhauen;5521
ab-fludern;mit einer Rute durchhauen;5521
ab-flügeln;durchhauen;5521
Ab-fluß;wie schd »Abfluß;7900
Abfluß-graben;Entwässerungsgraben;7900
ab-fordern;von einem etwas fordern;6410
ab-fotografieren;photographieren;7500
ab-fragen;wie schd »abfragen;8400
ab-fressen;wie schd »abfressen;5910
ab-frickeln;im Klickerspiel abgewinnen;7370
ab-frieren;wie schd »abfrieren;5700
ab-fuggern;abhandeln;7600
Ab-fuhr;entschiedene Abweisung;6333
ab-führen;abbefördern;7800
ab-führen;ins Gefängnis bringen;8230
ab-führen;beschämen (ü);6333
ab-führen;entrichten, bezahlen;7600
ab-führen;den Stuhlgang befördern;5340
Ab-führen;Diarrhöe;5340
Abführ-strauch;Faulbaum;3200
ab-füllen;aus einem Gefäß in andere (bes. in Flaschen) füllen;7470
ab-fummeln, -fümmeln;durch Fummeln (derbes Reiben) reinigen;5520
ab-fummeln, -fümmeln;derb die Meinung sagen (ü);6333
ab-fusern;Fasern lassen;5931
ab-füttern;fertig füttern;7450
ab-füttern;durchprügeln;5521
ab-gabeln;mit der Gabel abladen;7430
Ab-gaben;Steuern;8220
ab-galoppieren;sich schnell davonmachen;5533
Ab-gang;das Weggehen, Abtreten;5532
Ab-gang;die Entlassung aus der Dienstpflicht, insbes. vom Militär...;8220
Ab-gang;Schwächung, Niedergang, Verfall;9200
Ab-gang;Der Verkauf von Waren;7600
Ab-gang;Minderwertiges, minderwertige Überreste;9300
Ab-gang;Verwerfungsspalte im Gestein;2800
ab-gängig;fehlend;9200
ab-gängig;unbrauchbar, minderwertig;9200
Ab-gast;häßlicher und zugleich widerlicher Mensch;5120
ab-gastig;garstig von Angesicht und zugleich unfreundlich;5120
ab-gaunern;ergaunern;6510
ab-gauzen;durch anhaltendes Gauzen ermüden;5360
ab-geben;übergeben, abtreten;9311
ab-geben;verkaufen;7600
ab-geben;wiedergeben;9300
ab-geben;wie schd »abgeben;8200
ab-geben;Prügel verabfolgen;5521
ab-geben;beim Kartenspiel als Letzter geben;7380
ab-geben;wie schd. (ü) »abgeben;9311
ab-geben;den Verhältnissen Rechnung tragen;6260
ab-gebrannt;wessen Haus durch Feuer zerstört ist;7710
ab-gebrannt;bar aller Mittel (ü);7600
ab-gebrüht;unempfindlich gegen Vorwürfe;6510
ab-gedroschen;zum Überdruß bekannt;9200
ab-geheien;abwerfen;9800
ab-gehen;sich entfernen;5532
ab-gehen;davonlaufen, entwischen;5532
ab-gehen;sterben;5870
ab-gehen;wie schd »abgehen;6460
ab-gehen;abfahren;7850
ab-gehen;abbröckeln, abfallen, sich lösen;9311
ab-gehen;vom Absatz der Ware;7600
ab-gehen;Vom Abzug, der von einer Summe gemacht wird;7600
ab-gehen;rückgängig werden, abfallen;9800
ab-gehen;zu Grunde gehen, unbrauchbar werden;9110
ab-gehen;fehlen, mangeln;9300
ab-gehen;vom Verlauf und Erfolg einer Sache;6430
ab-gehen;eine Strecke, ein Grundstück kontrollierend...abgehen;5530
ab-gehen;wie schd »abgehen;5530
ab-gehen;behilflich sein;6420
ab-geneigt;wie schd »abgeneigt;6440
Ab-geordneter;wie schd »Abgeordneter;8210
Ab-geplage;wie schd »Abgeplage;5540
Ab-gereds, -geredsel;leere Getreideähren..., die beim Dreschen durch die Schüttler fallen;7440
ab-geschmackt;fad, widerwärtig;6320
Ab-geschmälzte;...Kartoffeln, mit gerösteten Zwiebeln abgeschmälzt;5910
ab-gespannt;ermüdet;5600
ab-gestumpft;seelisch unempfindlich;6320
ab-getrieben;entkräftet;5600
ab-gewinnen;im Spiel abnehmen;7300
ab-gewinnen;(einem) mit dem Neujahrswunsch zuvorkommen;7310
ab-gewöhnen;wie schd »abgewöhnen;6460
ab-gewöhnen;entwöhnen;5830
ab-gieksen;abstechen;7565
ab-gießen;vom Satz durch Gießen entfernen;5920
ab-glänzen;beim Backen mit Wasser bestreichen, so daß die Rinde Glanz erhält;7560
ab-glecken;...einen Armvoll Getreide aufheben und...zum Trocknen...ausbreiten;7440
ab-glitschen;abgleiten;5550
ab-glitschen;mißlingen;6430
ab-graben;ableiten;9800
ab-graben;durch Ausgleich zwischen trockenen...und nassen...Stellenverbessern;7900
ab-grasen;abweiden;7450
ab-grasen;bettelnd Haus um Haus abgehen (ü);6410
ab-greifen;mit Handspanne oder Zirkel abmessen;7500
ab-greifen;durch häufiges Greifen beschädigen;9800
Ab-greuel;abscheulicher Kerl;6510
ab-grotzen, -grutzen;den Blätterschopf der Rüben wegschneiden;7430
ab-grotzen, -grutzen;mit schlechter Sense mähen;7430
ab-grotzen, -grutzen;sich die Kehle durchschneiden;9110
ab-gucken;verstohlener Weise abschauen, um es nachzuahmen;5410
ab-gunstig;mißgünstig;6510
ab-hächsen;durch nachlässiges Gehen abschlurfen;5937
ab-hächten;sich durch schnelles Arbeiten, ...Laufen...abhetzen;5540
ab-hacken;abhauen;5520
ab-hacken;grob, ohne Sorgfalt mähen;7430
ab-hacken;sich müde und matt hacken;5540
ab-häkeln;ein Vorbild durch Häkeln nachahmen;7780
ab-halftern;(von einem Amt) absetzen;8220
ab-halten;fernhalten;9500
ab-halten;zurückhalten;6420
ab-halten;das kleine Kind zur Verrichtung der Notdurft über den Topf halten;5830
ab-halten;wie schd (ü) »abhalten;6430
ab-handeln;unter viel Handeln, Feilschen etwas abkaufen;7600
ab-handeln;durch Feilschen einen niedrigeren Preis erzielen;7600
Ab-hang;Hang eines Berges oder höheren Hügels;2800
ab-hängig, -henkisch;abschüssig, steil abfallend;2800
ab-hängig, -henkisch;von jemand oder etwas a. sein (ü);9300
ab-härmen;wie schd »abhärmen;6320
ab-härten;glühendes Eisen durch Eintauchen in kaltes Wasser härten;7530
ab-härten;gegen Kälte widerstandsfähig machen;5700
ab-haspeln;abwinden;5520
ab-hatzen;durch schnelles Arbeiten oder Laufen ermüden;5540
ab-hauen;mit einem scharfen Gerät hauend abtrennen;5520
ab-hauen;sich entfernen;5532
ab-hauen;sterben;5870
ab-hausen;durch schlechtes Wirtschaften um Hab und Gut kommen;9110
ab-hausen;unter Vorhaltung seiner Fehler...sich von jemand trennen;6333
ab-häuten;wie schd »abhäuten;9800
Ab-hebchens, Ab-heben;ein Fingerspiel der Kinder;7360
ab-heben;von oben herabnehmen;9500
ab-heben;Grasstücke ...ausheben und damit tiefe nasse Stellen ausfüllen;2700
ab-heben;abräumen;7780
ab-heben;von oben abschöpfen;7455
ab-heben;Honig aus den Waben nehmen;7460
ab-heben;das Schmalz vom Rückenspeck ablösen;5910
ab-heben;einen trinken;5920
ab-heben;wie schd »abheben;7600
ab-heben;...die Maschen von einer Stricknadel auf eine andere...aufreihen;7780
ab-heben;beim Abhebchens abhebend aus einer Figur eine neue bilden;7360
ab-heben;beim Kartenspiel nach dem Mischen...Karten abheben;7380
ab-heben;zur Verrichtung der Notdurft über den Topf halten;5830
ab-heben;zurückhalten;6460
ab-heben;sich ablösen;9311
ab-heben;hervorstechen;9300
ab-heben;auf den hat er (es) gemünzt;9300
Ab-heben;ein Spiel;7360
ab-heilen;zu Ende heilen;5700
ab-helfen;(eine Last) abstellen helfen;5520
ab-helfen;Abhilfe schaffen, etwas beseitigen;9800
ab-henken, -hängen;aus dem Rauch hängen;9800
ab-henken, -hängen;überholen;9300
ab-henken, -hängen;Fleisch, das einige Zeit am Haken gehangen hat;5910
ab-henken, -hängen;wie schd »abhenken, abhängen;9300
ab-hetzen;müde hetzen;5540
ab-hetzen;sich (durch überschnelles Laufen oder Arbeiten) müde hetzen;5540
Ab-hilfe;wie schd »Abhilfe;9800
ab-hobeln;mit dem Hobel glätten oder dünner machen;7520
ab-hobeln;durch Tadeln gesitteter machen;6500
ab-hocken;absitzen;9600
ab-hold;abgeneigt;6440
ab-holen;(einem Gast) entgegengehen und ihn geleiten;5530
ab-holen;photographieren;7500
ab-holen;hingehen und heranbringen;5530
ab-holen;wegnehmen, abnehmen;5520
ab-holen;an Gewicht verlieren;9370
Ab-holer;Photograph;7500
Ab-holz;Holz, das bei der Verarbeitung übrigbleibt;7520
ab-hören;wie schd »abhören;5420
ab-hören;wie schd »abhören;5420
ab-hören;verhören (bei Gericht);8300
ab-hotzeln;sich müde schleppen;5540
ab-hudeln;zu schnell hersagen;5360
ab-hudeln;sich abquälen;5540
ab-hungern;durch Hungern absparen;5910
ab-hunzen;sich abplagen, sich müde arbeiten;5540
Ab-hunzerei;mühsame Arbeit;5540
ab-jackern, -jäckern;schnell davonlaufen;5533
ab-jackern, -jäckern;mit der Mähmaschine rasch abmähen;7402
ab-jackern, -jäckern;durch Jackern abhetzen;5540
ab-jagen;durch Jagen ermüden, abhetzen;5540
ab-jagen;durch Verfolgen entreißen;9800
ab-jasten, -jästen;sich durch schnelles Laufen oder Arbeiten abhasten;5533
ab-jaten;sich abjagen, abmühen;5540
ab-jatzen;sich durch schnelles Arbeiten oder Laufen abhasten;5533
ab-jöcheln;Zugtiere vom Joch befreien;7403
ab-jochen;Zugtiere vom Joch befreien;7403
ab-kalben;aufhören zu kalben;7450
ab-kampeln;einen derben Verweis geben, auszanken;6333
ab-kampeln;sich abmühen;5540
ab-kanzeln;gehörig die Meinung sagen, zurechtweisen;6333
ab-kapiteln;gehörig die Meinung sagen, zurechtweisen;6333
ab-kappen;Spitzen der Äste, der Triebe abhauen oder abzwicken;3010
ab-kappen;barsch das Wort abschneiden, barsch zurechtweisen;6333
ab-karbatschen;durchprügeln;5521
ab-karchen;den Karren abladen;7403
ab-kärmsen;sich abplagen;5540
ab-kärmsen;sich abhärmen;6320
ab-kärmsen;entbehrungsvoll absparen;9110
ab-karten;zum Nachteil eines anderen heimlich verabreden, ...;6510
ab-käsen;abschreiben;8400
ab-katzen;abplagen;5540
Ab-kauf;Loskauf;8210
ab-kaufen;wie schd »abkaufen;7620
Ab-kehr;Entlassung aus dem Dienst;7525
Abkehr-besen;ein zarter kleiner Besen zum Abkehren der Bienen;7460
ab-kehren;abwenden;5550
ab-kehren;ableiten;7900
ab-kehren;abfegen;7780
ab-kehren;durchhauen;5521
Abkehr-feder;ein zarter kleiner Besen zum Abkehren der Bienen;7460
Abkehr-wisch;ein zarter kleiner Besen zum Abkehren der Bienen;7460
ab-keideln;sich abquälen, abplagen;5540
ab-keilen;mit einem Knüttel abschlagen (Obst);3120
ab-keilen;in Keilform abschneiden;5520
ab-keimen;an den Kartoffeln Keime entfernen;3400
ab-ketzen;sich abhetzen;5570
ab-ketzern;sich abmühen;5540
ab-kiefen;abnagen;5360
ab-kiefern;abnagen;5360
ab-kimmeln;ablocken;6410
ab-kitschen;die Schuhsohlen durch schleifendes Gehen dünn laufen;5937
ab-kitschen;eine Straße hindurch, von Haus zu Haus gehend, betteln;6410
ab-kitschen;Aufgaben abschreiben;8400
ab-klabastern;durchprügeln;5521
ab-klabastern;auschelten, heruntermachen;6333
ab-klatschen;durch Klatschen in die Hände einen Tänzer engagieren;8740
ab-klickern;Klicker abgewinnen;7370
ab-klopfen;durch Klopfen entfernen;5520
ab-klopfen;oberflächlich abdreschen;7440
ab-klopfen;abbetteln;6410
ab-klopfen;die Militärzeit abdienen;8500
ab-klotzen;(vom Stamm) ein Stück absägen;7550
ab-klüngeln;abwickeln;5520
ab-knäbbern, -knabbern;abnagen;5360
ab-knäckern;einzeln abgewinnen;7600
ab-knäckern;abmähen;7430
ab-knäffern;abnagen;5360
ab-knallen;totschießen;5870
ab-knappen;sich etwas absparen;6420
ab-knappsen;in knauseriger Art abziehen;6510
ab-knaubeln, -knäubeln, -knubbeln;durch Knaubeln (Daranstoßen) abbrechen;9311
ab-knaubeln, -knäubeln, -knubbeln;abgewinnen;7370
ab-knausern;in knauseriger Art abziehen;6510
ab-knickern;in knauseriger Art abziehen;6510
ab-knippen;abzwicken, abkneifen;5520
