bedeutung;sachgruppe
die Entlassung aus der Dienstpflicht, insbes. vom Militär...;8220
Schwächung, Niedergang, Verfall;9200
Der Verkauf von Waren;7600
Minderwertiges, minderwertige Überreste;9300
Verwerfungsspalte im Gestein;2800
fehlend;9200
unbrauchbar, minderwertig;9200
häßlicher und zugleich widerlicher Mensch;5120
garstig von Angesicht und zugleich unfreundlich;5120
ergaunern;6510
durch anhaltendes Gauzen ermüden;5360
übergeben, abtreten;9311
verkaufen;7600
wiedergeben;9300
wie schd »abgeben;8200
Prügel verabfolgen;5521
beim Kartenspiel als Letzter geben;7380
wie schd. (ü) »abgeben;9311
den Verhältnissen Rechnung tragen;6260
wessen Haus durch Feuer zerstört ist;7710
bar aller Mittel (ü);7600
unempfindlich gegen Vorwürfe;6510
zum Überdruß bekannt;9200
abwerfen;9800
sich entfernen;5532
davonlaufen, entwischen;5532
sterben;5870
wie schd »abgehen;6460
abfahren;7850
abbröckeln, abfallen, sich lösen;9311
vom Absatz der Ware;7600
Vom Abzug, der von einer Summe gemacht wird;7600
rückgängig werden, abfallen;9800
zu Grunde gehen, unbrauchbar werden;9110
fehlen, mangeln;9300
vom Verlauf und Erfolg einer Sache;6430
eine Strecke, ein Grundstück kontrollierend...abgehen;5530
wie schd »abgehen;5530
behilflich sein;6420
wie schd »abgeneigt;6440
wie schd »Abgeordneter;8210
wie schd »Abgeplage;5540
leere Getreideähren..., die beim Dreschen durch die Schüttler fallen;7440
fad, widerwärtig;6320
...Kartoffeln, mit gerösteten Zwiebeln abgeschmälzt;5910
ermüdet;5600
seelisch unempfindlich;6320
entkräftet;5600
im Spiel abnehmen;7300
(einem) mit dem Neujahrswunsch zuvorkommen;7310
wie schd »abgewöhnen;6460
entwöhnen;5830
abstechen;7565
vom Satz durch Gießen entfernen;5920
beim Backen mit Wasser bestreichen, so daß die Rinde Glanz erhält;7560
...einen Armvoll Getreide aufheben und...zum Trocknen...ausbreiten;7440
abgleiten;5550
mißlingen;6430
ableiten;9800
durch Ausgleich zwischen trockenen...und nassen...Stellenverbessern;7900
abweiden;7450
bettelnd Haus um Haus abgehen (ü);6410
mit Handspanne oder Zirkel abmessen;7500
durch häufiges Greifen beschädigen;9800
abscheulicher Kerl;6510
den Blätterschopf der Rüben wegschneiden;7430
mit schlechter Sense mähen;7430
sich die Kehle durchschneiden;9110
verstohlener Weise abschauen, um es nachzuahmen;5410
mißgünstig;6510
durch nachlässiges Gehen abschlurfen;5937
sich durch schnelles Arbeiten, ...Laufen...abhetzen;5540
abhauen;5520
grob, ohne Sorgfalt mähen;7430
sich müde und matt hacken;5540
ein Vorbild durch Häkeln nachahmen;7780
(von einem Amt) absetzen;8220
fernhalten;9500
zurückhalten;6420
das kleine Kind zur Verrichtung der Notdurft über den Topf halten;5830
wie schd (ü) »abhalten;6430
unter viel Handeln, Feilschen etwas abkaufen;7600
durch Feilschen einen niedrigeren Preis erzielen;7600
Hang eines Berges oder höheren Hügels;2800
abschüssig, steil abfallend;2800
von jemand oder etwas a. sein (ü);9300
wie schd »abhärmen;6320
glühendes Eisen durch Eintauchen in kaltes Wasser härten;7530
gegen Kälte widerstandsfähig machen;5700
abwinden;5520
durch schnelles Arbeiten oder Laufen ermüden;5540
mit einem scharfen Gerät hauend abtrennen;5520
sich entfernen;5532
sterben;5870
durch schlechtes Wirtschaften um Hab und Gut kommen;9110
unter Vorhaltung seiner Fehler...sich von jemand trennen;6333
wie schd »abhäuten;9800
ein Fingerspiel der Kinder;7360
von oben herabnehmen;9500
Grasstücke ...ausheben und damit tiefe nasse Stellen ausfüllen;2700
abräumen;7780
von oben abschöpfen;7455
Honig aus den Waben nehmen;7460
das Schmalz vom Rückenspeck ablösen;5910
einen trinken;5920
wie schd »abheben;7600
...die Maschen von einer Stricknadel auf eine andere...aufreihen;7780
beim Abhebchens abhebend aus einer Figur eine neue bilden;7360
beim Kartenspiel nach dem Mischen...Karten abheben;7380
zur Verrichtung der Notdurft über den Topf halten;5830
zurückhalten;6460
sich ablösen;9311
hervorstechen;9300
auf den hat er (es) gemünzt;9300
ein Spiel;7360
zu Ende heilen;5700
(eine Last) abstellen helfen;5520
Abhilfe schaffen, etwas beseitigen;9800
aus dem Rauch hängen;9800
überholen;9300
Fleisch, das einige Zeit am Haken gehangen hat;5910
wie schd »abhenken, abhängen;9300
müde hetzen;5540
sich (durch überschnelles Laufen oder Arbeiten) müde hetzen;5540
wie schd »Abhilfe;9800
mit dem Hobel glätten oder dünner machen;7520
durch Tadeln gesitteter machen;6500
absitzen;9600
abgeneigt;6440
(einem Gast) entgegengehen und ihn geleiten;5530
photographieren;7500
hingehen und heranbringen;5530
wegnehmen, abnehmen;5520
an Gewicht verlieren;9370
Photograph;7500
Holz, das bei der Verarbeitung übrigbleibt;7520
wie schd »abhören;5420
wie schd »abhören;5420
verhören (bei Gericht);8300
sich müde schleppen;5540
zu schnell hersagen;5360
sich abquälen;5540
durch Hungern absparen;5910
sich abplagen, sich müde arbeiten;5540
mühsame Arbeit;5540
schnell davonlaufen;5533
mit der Mähmaschine rasch abmähen;7402
durch Jackern abhetzen;5540
durch Jagen ermüden, abhetzen;5540
durch Verfolgen entreißen;9800
sich durch schnelles Laufen oder Arbeiten abhasten;5533
sich abjagen, abmühen;5540
sich durch schnelles Arbeiten oder Laufen abhasten;5533
Zugtiere vom Joch befreien;7403
Zugtiere vom Joch befreien;7403
aufhören zu kalben;7450
einen derben Verweis geben, auszanken;6333
sich abmühen;5540
gehörig die Meinung sagen, zurechtweisen;6333
gehörig die Meinung sagen, zurechtweisen;6333
Spitzen der Äste, der Triebe abhauen oder abzwicken;3010
barsch das Wort abschneiden, barsch zurechtweisen;6333
durchprügeln;5521
den Karren abladen;7403
sich abplagen;5540
sich abhärmen;6320
entbehrungsvoll absparen;9110
zum Nachteil eines anderen heimlich verabreden, ...;6510
abschreiben;8400
abplagen;5540
Loskauf;8210
wie schd »abkaufen;7620
Entlassung aus dem Dienst;7525
ein zarter kleiner Besen zum Abkehren der Bienen;7460
abwenden;5550
ableiten;7900
abfegen;7780
durchhauen;5521
ein zarter kleiner Besen zum Abkehren der Bienen;7460
ein zarter kleiner Besen zum Abkehren der Bienen;7460
sich abquälen, abplagen;5540
mit einem Knüttel abschlagen (Obst);3120
in Keilform abschneiden;5520
an den Kartoffeln Keime entfernen;3400
sich abhetzen;5570
sich abmühen;5540
abnagen;5360
abnagen;5360
ablocken;6410
die Schuhsohlen durch schleifendes Gehen dünn laufen;5937
eine Straße hindurch, von Haus zu Haus gehend, betteln;6410
Aufgaben abschreiben;8400
durchprügeln;5521
auschelten, heruntermachen;6333
durch Klatschen in die Hände einen Tänzer engagieren;8740
Klicker abgewinnen;7370
durch Klopfen entfernen;5520
oberflächlich abdreschen;7440
abbetteln;6410
die Militärzeit abdienen;8500
(vom Stamm) ein Stück absägen;7550
abwickeln;5520
abnagen;5360
einzeln abgewinnen;7600
abmähen;7430
abnagen;5360
totschießen;5870
sich etwas absparen;6420
in knauseriger Art abziehen;6510
durch Knaubeln (Daranstoßen) abbrechen;9311
abgewinnen;7370
in knauseriger Art abziehen;6510
in knauseriger Art abziehen;6510
abzwicken, abkneifen;5520
im Spiel, bes. im Klickerspiel abnehmen;7370
Knospen abbrechen;3010
wie schd. (gegenst.) »abknöpfen;5520
wie schd. (ü) »abknöpfen;6420
sich abmühen;5540
durch Binden abteilen;5520
in derber Weise liebkosen;6332
wie schd »abkochen;7780
/im Freien abkochen (Sprache der Wanderer, Soldaten)/;5520
aus der Schale lösen;3120
den Christbaum des Schmuckes entkleiden;7310
sich entkleiden;5930
wegkommen, sich entfernen;5532
aus dem Dienst entlassen, abgesetzt werden;8220
sich verirren;9500
außer Brauch kommen;9311
/losgehen (Schuß), starten/;9500
photographieren;7500
malen;8600
auf dem Rücken tragen;5550
sich müde schleppen;5540
durch Tausch abhandeln;7600
durch Kratzen entfernen;5520
durch Kratzen säubern;5520
sich davonmachen, weggehen;5532
sterben;5870
sich müde schreien;5360
wie schd »abkreischen;5360
das kochende Öl durch Zugabe eines festen Mittels...läutern;7740
durch Kribbeln...in kleinen Stücken abreißen;5520
erhalten, abbekommen;9800
losbringen, trennen;5520
den Christbaum seines Schmuckes entkleiden;7310
in Krümchen abreißen;5520
mit den Fingern scharrend abreißen, abbrechen;5520
Kruste abreißen;5520
/sich durch Schatten oder Wasser abkühlen/;9800
(ü) /ruhig werden/;6300
/wetterleuchten/;2100
Abstammung;7100
wie schd »abküssen;6332
Fleisch mit Lacke übergießen;7565
Bütte, Zuber für die zerstampfte Traubenmasse;7470
Bütte, Zuber für die zerstampfte Traubenmasse;7470
eine Last herabnehmen;5520
durch Herabnehmen der Last ein Gefährt leermachen;7820
sich übergeben (sch);5340
wie schd »ablagern;7470
wie schd »ablaichen;4300
von länglicher Gestalt;9211
die passende Länge geben;9211
Schleuse;2600
das Ablassen des Weines von der Hefe;7470
die Nachlassung der Sünden;8830
Fangspiel, bei dem eines der Kinder die Bezeichnung Ablaß erhält...;7360
??;7470
??;7470
harnen;5340
/von Faß zu Faß mit Schlauch umfüllen/;7470
entrahmen;7455
/den Weiher entleeren/;7900
/einem etwas überlassen, worauf man selbst Anspruch hätte/;6420
nachlassen an der Abgabe der Schuld;7600
sich von einem, von etwas trennen...;6460
??;8220
Entwässerungsgraben;7900
??;7470
abhorchen, ohne gesehen zu werden;5420
auf jemand warten;6450
Abfluß;7900
...Hilfsmittel, die dem Ablaufen dienen;7900
/Gestell zum Abrinnen des gespülten Küchengeschirrs/;7740
...Brett auf dem die Körner vom Mahltrichter zum Mühlstein gleiten;7580
...Brett auf dem die Körner vom Mahltrichter zum Mühlstein gleiten;7580
abfließen;7900
zu Ende gehen;9314
die Gültigkeit verlieren;8300
starten lassen;5530
scheltend abfertigen;6333
einen Weg, eine Strecke zurücklegen;5530
durch Laufen abnützen;5937
seinen Ungestüm ablegen;6200
einem zuvorkommen, einen Vorteil über ihn gewinnen;6420
...Brett, auf dem die Körner vom Mahltrichter zum Mühlstein gleiten;7580
Entwässerungsgraben;7900
durch Lauge entfernen;7520
im Spiel einem etwas abgewinnen;7370
ablauschen, abhorchen;5420
wie schd »ableben;5870
durch Lecken entfernen;5360
abküssen;6332
verhauen;5521
/einen Baum, bes. Christbaum, leer machen, plündern/;7310
wie schd »ablegen;6420
vergüten;5521
aus Stock- oder Wurzelausschlag hervorgezogene Pflanze;7550
/eingegrabener Zweig eines Rebstocks zum Füllen von Fehlstelle/;7470
/vom Mutterstock abgetrennter, neu gepflanzter Zweig des Blumenstocks/;7480
/durch Teilen des Muttervolks gewonnener Kunstschwarm bei Bienen/;7460
Zurückzahlung eines aufgenommenen Kapitals;7600
abtrocknen (Wäsche);7770
zum Abfließen bringen;7900
die Ernteleitern durch die Kastenbretter oder...gewöhnl. Leitern ersetzen;7402
wie schd »ablenken;9500
einzeln herunternhemen;5520
Beerenfrüchte abernten;7480
Gedrucktes oder Geschriebenes vom Blatt ablesen;8400
zerlesen;9200
aus Anzeichen erkennen;6210
schließen, urteilen;6250
ableugnen;6440
wie schd »abliefern;6420
ablocken, abschwatzen;6410
wie schd »ablocken;6410
wie schd »ablockern, ablöckern;6410
mit etwas Saugfähigem, z.B. Löschblatt, entfernen;8400
gebrannten Kalk durch Übergießen mit Wasser auflösen;7510
wie schd »ablösen;6430
Zahlungsverpflichtung auf andere Weise vergelten;7600
im Spiel abgewinnen, ablocken;7370
auf schlaue Weise abgewinnen, ablocken;6430
durch schlaue Überredung oder schlaues Spiel an sich bringen;6430
heimlich lauernd absehen;5410
im Spiel abgewinnen, vorteilhaft abhandeln;7370
abgewinnen;6430
absaugen;5360
wegmachen, entfernen;5520
mit der Sense, mit der Mähmaschine abmähen;7430
amputieren;5700
die Früchte eines Baumes bis auf den letzten abpflücken;3120
(eine Sache) gütlich erledigen;6440
eine Vereinbarung treffen;6440
quitt sein;9300
außer Spiel setzen;7370
sich entfernen;5532
erschöpft sein;5600
im Sterben liegen;5870
Bankerott machen;7600
unbrauchbar werden;9800
ein Klickerspiel;7370
Getreideschnitt;7440
ein Klickerspiel;7370
wie schd »abmagern;5220
wie schd »abmähen;7430
durchprügeln;5521
abmalen, abzeichnen;7500
photographieren;7500
langsam, buchstabenweise abschreiben;8400
abmarkten, durch Feilschen einen niedrigeren Preis erzielen;7600
/verlieren (im Spiel)/;7390
wie schd »abmeißeln;7500
verprügeln;5521
sich abmühen;5540
wie schd »abmelden;8230
/keine Milch mehr geben/;7455
(ü) /bis zum letzten ausnutzen (körperl. Kräfte, finanz. Mittel/;5540
im Milchen nachlassend;7455
sich abquälen;5540
bemerken;6210
wie schd »abmessen;9330
ausschelten, tüchtig die Meinung sagen;6333
...roh hinschlachten, ...heimlich umbringen;5870
sich abmühen;5540
wie schd »abnagen;5360
hinter eine bereits vorhandene Naht eine zweite setzen;5520
das Abgenähte;5930
Photographie;7500
herunternehmen, wegnehmen;5520
...Halmfrucht hinter dem Mäher wegnehmen und...ausbreiten;7440
beim Heuabladen das Heu von der Gabel nehmen;7430
die Zahl der Maschen durch Zusammenfassung...vermindern;7780
von den Händen des Mitspielenden auf die eigenen Hände nehmen;7360
photographieren;7500
von einer Last befreien;9311
abverlangen;7620
abkaufen;7620
wegnehmen;5520
amputieren;5700
folgern, schließen...;6250
an Gewicht abnehmen;5220
nachlassen, geringer werden;9300
wie schd »abnehmen;2100
wie schd »abnehmen;2500
...rasch zunehmende Abmagerung und Entkräftung des Körpers;5700
Fingerspiel mit der Kordel...;7360
Kraut gegen das Abnehmen;3700
Käufer einer Ware;7600
/Person, die beim Abladen das Heu von der Gabel entgegennimmt/;7450
Photograph;7500
wie schd »abnützen;9800
wie schd »Abort;7720
wie schd »Abortbrille;7730
wie schd »Abortbürste;7730
wie schd »Abortdeckel;7730
wie schd »Abortloch;7720
wie schd »Aborttür;7720
in Pakete packen;5520
abschwatzen;5360
etwas passend machen, einpassen;9210
abwarten;6450
abschwatzen;5360
mit Pfählen abstecken;7420
durch Pfeifen ein Zeichen geben;5360
(ü) ein Ende haben;9314
durch Pfetzen (Zwicken) abtrennen;5520
ablösen, kratzend entfernen;5520
(beim Backen) pinselnd mit Wasser bestreichen;7560
in kleinen Teilen, also einzeln abgewinnen;7370
in Placken (Streifen) abziehen, abschälen;7480
sich in lästiger Weise plagen;5540
wie schd »abplagen;5540
mit der Plätsche plattschlagen;7400
abschwatzen;5360
wie schd »abprallen, abprellen;7360
übel ankommen;6440
einem mit der Pritsche (Schlaggerät, Rute) auf das Gesäß schlagen;5521
abgewinnen;7370
cacare (Soldatenspr.);5340
abstoßen, abziehen (Lederbearb.);7540
eine Flüssigkeit durch Pumpen entfernen;7900
Gemüseabfälle;7780
wischend, bürstend reinigen;5520
ausschelten, tadeln, scharf abfertigen;6333
Putz (Schmuck) entfernen;7310
Tadel;6333
Gemüseabfälle;7780
Staubtuch;7780
Staubtuch;7780
wie schd »abquälen;5540
durch Quetschen ...abtrennen;5520
wie schd »abquittieren;7600
sich abmühen;5540
sich abschinden;5540
sich abschinden;5540
beigehauenes Getreide zu Glecken zusammenraffen;7430
der biblische Erzvater;8820
jüdischer Vorname;7110
Wolkengewirr am Himmel (W);2100
(sch) Ziege;4115
den Rahm von der Milch abschöpfen;7455
übers Ohr hauen;6510
verhauen;5521
verhauen;5521
die Beeren von den Rappen (Trauben) abpflücken;7470
sich überanstrengen;5540
/sich abregen/;6300
wie schd »abrasieren;5940
mit der Raspel ebnen;7500
widerraten;6440
abreißen (Haut);5220
sich abmühen, abhetzen;5540
wegräumen;7780
mit dem Rechen abkämmen (Heufuhre);7403
...mit dem Rechen auseinanderstreuen (Wiese);7450
(einen Betrag) abziehen;7600
Schuld gegen Schuld...aufrechnen und durch Zahlung begleichen;7600
zur Rechenschaft ziehen (ü);6510
