lemma,bedeutung,sachgruppe
Schmarollenschüttel,"Suppe mit weichen, flockigen Teigklumpen, zu deren Zubereitung Biestmilch verwendet wurde",5911
Grusch,Möbel (pejor),7730
Bündelein,Reisigbündel,7550
gelb,gelb verfärbt (in Redensart),9231
verschimpfen,ausschimpfen,6333
Schmiere,Platzwunde,5700
Sästreifen,"Streifen, den die Sämaschine in einem Gang besät",7440
gehen,"gehen, sich zu etwas, zu jemandem hin begeben",5531
Knörzlein,zum Knoten aufgestecktes Haar,5940
Köpfer,Sprung mit dem Kopf voran ins Wasser,7340
ihnen,ihnen (in Redensart),1130
Wechselbalg,Kind (pejor): aus einer Inzestbeziehung hervorgegangen,7011
Pfaffenkäppelein,Frucht des Weißdorns,3210
düngen,mit Dung versehen,7430
anbletzen,jemandem ins Gesicht rauchen,5921
abknöpfen,Geld aus der Tasche ziehen,6540
rudeln,Herstellen einer Schneerolle zum Bau eines Schneemanns,7360
zupfen,Haare ausreißen,5520
Viehkerl,lustiger Mensch ?,6110
Mätzelein,Kuss,6332
Butter,Butter (Gabe an die Hütejungen oder Hirten an Pfingsten),7310
ansamen,"sich bei jemandem breit machen,. jemand immer wieder besuchen",7010
wichtig,"wichtig, von Belang",9240
Tenngemätsche,auf die Tenne gefallene Futter- oder Getreidereste,7440
Erdbirnzemmete,"zerschnittene, geröstete Klöße aus rohen Kartoffeln",5911
Tennris,auf die Tenne gefallene Futter- oder Getreidereste,7440
gespuseln,schäkern von Verliebten,6332
Stüpfelackern,das erste Pflügen nach der Ernte,7440
putzen,"putzen, reinigen",7740
rasch,schnell,9240
humpern,"still, fast tränenlos weinen",6320
aussehen,"ähneln, ähnlich sehen",9312
Babylein,auffallend körperlich schwaches Kind,5172
Schneckenbätzlein,Kosewort ?,6332
geben,vorhanden sein,9000
gähnen,mühsam schnaufen,5330
Stock,Unterlage des Dengelambosses,7402
Golber,Herrenjacke,5933
Seischab,Familienname,7110
herumstürzen,das erste Mal nach der Ernte den Acker pflügen,7440
Passionsvogel,Kreuzschnabel (Vogelart),4210
Hanselein,der kleine Finger der menschlichen Hand,5200
Kneif,stumpfes Messer (pejor),7736
auslassen,"ausschmelzen, ausbraten",9230
Stadtstreicher,"Streuner, unsteter Mensch",6415
zaunrappeldürr,"dünn, mager von Menschen",5210
runtergefallenes,Fallobst,3120
Schweinehök,Schweinehändler,7450
Kettenbüsch,Löwenzahn,3500
felgnig,faltig,5210
räsonieren,schimpfen (allgemeinstes und häufigstes Wort),6333
Gummischwammer,Schwamm zum Abwischen der Schultafel,8400
draufsetzen,"hinzufügen, auf etwas setzen",0
innig,innere (Seite eines Kleidungsstücks),9500
Teegras,Ackerunkraut,3900
Fuhre,große Menge einer Speise,5910
Lapperdatsch,schwächlicher Mensch (nicht Kind),5120
Mäusegieker,stumpfes Messer (pejor),7736
schänden,schänden,6333
tappig,"krumm, schief, missgebildet",5210
Zumpfel,eine dicke und dabei sehr kleine Frau,5162
pflotteren,weinen,6320
Geschlämperig,weichgekochtes oder gewässertes Viehfutter,7450
abknotschen,betasten,5520
elend,schwächlich,5210
Zwiejähriger,"Tier, das zwei Jahre alt ist",4000
Hirnbund,"zwei Tücher, die bei Kopfschmerzen um die Stirn und um den Kopf unter das Kinn gebunden werden",5700
richtig,"wahrhaftig, typisch",9240
appelhaft,albern,6270
ausdokteren,"austherapiert, schulmedizinisch nicht mehr gesund zu machen",5700
Biest,streitsüchtige Person,6112
winseln,Weinen von Kindern,6320
Plempel,minderwertiger Hausrat,7600
Beinlein,"Fuß, Fuß des Schweins",4113
schön,"angemessen, reichlich",9240
Hose,aufgestellte Getreidegarben,7440
mannsbildsnarrisch,"triebhaft, vom Geschlechtstrieb bestimmt sein von jungen Frauen bzw. Mädchen",5350
anschmiegen,einander eng verbunden sein,6332
hinangepritscht,geglättet (Haar),5940
Düring,Familienname,7110
Weiche,das Brotinnere,5910
hinternachlaufen,"ununterbrochen behelligen, belästigen",6332
Gusto,"Neigung, Lust, Appetit",5910
Grosse Wäsche,"Waschtag, großes Wäschewaschen",7770
Caracciola,sehr hohes Tempo,9800
Erdäpfelsbröckelein,Rest der Kartoffel nach dem Reiben,7740
Ohr,Schutzkappe an Pferdeohren gegen (Stech-)Fliegen,4112
herumkramsen,in etwas kramend suchen,5520
abbeten,gesundbeten,8810
Starrkopf,"fader, träger, stumpfsinniger Mensch",6117
Filou,leichtsinniger Mensch,6117
herausgeben,etwas auf das Verlangen eines Zweiten aushändigen,9311
Schneeknirschen,"das Knirschen vom Schnee, wenn man darüber läuft",2200
Lok,Antriebsmaschine für die Dreschmaschine,7402
Kägerschenauge,Hühnerauge,5700
dran,dran (in Redensart),9312
Hängerling,ein Stück Räucherfleisch,7565
Andrehe,Bremsvorrichtung bei von Tieren gezogenen Schlitten,7405
Knochenpolierer,unfairer Fußballspieler,7340
Ladner,Gemischtwarenhändler (spöttisch),7600
hineinbringen,beim Haareschneiden Stufen verursachen,5940
Angefaultes,Druckstelle an Obst,3120
Vögelbeerleinbaum,Eberesche,3110
Band,"breites Wickelband, in das man früher die Kleinkinder wickelte",5830
veraasen,verderben des Magens,5340
Ackerwerre,Maulwurfsgrille gryllotalpa vulgaris,4700
Großtuerin,sprödes Mädchen,6139
Plappermaul,"Person, die viel redet",6135
Hörnerbock,Schlitten mit vorn kreisrund gebogenen Kufen,7405
Gemeindelach,die Grenze der Dorfgemarkung,8221
leberdamisch,benommen,5400
Milchinger,männlicher Fisch,4300
sternhagelblau,betrunken,5925
umgehen,in bestimmter Weise behandeln,6420
Gehirn,"Gedächtnis, Erinnerungsvermögen",6230
Tapper,"Schritt, Tritt",5530
Nadel,Nadel (in Redensart),7545
Eckelein,sehr kleiner Acker,7440
Spülein,"Wasser, in dem man das Geschirr spült",7740
Kuhmaulvoll,großer Schluck,9400
verwässern,durch die Zugabe von Wasser den Geschmack vermindern,9230
Helmut,Helmut (in Redensart),7120
Alexius,Heiliger Alexius Fest 17. Juli,7310
Erlitze,Fischart (Phoxinus phoxinus),4310
kahl,niedergedrückt vom Getreide durch Wind,7440
sträubig,durch Frisieren nicht zu bändigen (Haare),5940
Mann,Mann als erwachsene Person männlichen Geschlechts,5130
fuschieren,quälen,6320
herabputzen,"jemand beugen, erniedrigen",6333
all,"all, absolut (in Redensart)",9400
"abwürgen, sich","sich sehr anstrengen, bei großer Anstrengung stöhnen",5520
Quackelein,"Kleinkind, das noch nicht fest auf den Beinen steht",5830
Dreckschleuder,"Person, die ohne viel Überlegung drauflosredet",6110
Schieß,Furz (in Redensart),5340
tief,weiter innen,8820
fickelkrumm,"unschön, die Zeilen nicht einhaltend (Schrift)",8400
Pedaletreter,Fahrrad (spöttisch),7820
Stroh,"trockene, leere Getreidehalme",3300
Schaf,Schaf,4114
Holzkarren,"einrädrige Karre mit Leiter, Schubkarre",7403
Eierschluck,Reimwort auf Kuckuck in Redensart,1210
Begattung,"kopulieren, von Geflügel",4240
Pflaum,Familienname,7110
Jäst,Schimmel auf Flüssigkeiten,5920
meschugge,wütend,6320
Gestutzter,"jemand, der gestutzt wurde",7010
Ranzen,stark hervortretender Bauch,5210
Geschreimaulende,"Frau, die immer viel Lärm verursacht",6135
Amiflitsche,"Mädchen, das Beziehungen zu Amerikanern, US-Soldaten, unterhält (pejor)",6136
Gezwitscher,Lautäußerung des Vogels,4020
Händschlag,Stockschlag auf die Hand,5521
jammern,weinen,6320
brummeln,"sich mürrisch, beleidigt verhalten",6333
abgeben,streiten,6333
"verschmusen, sich",durch Verkuppeln zusammenkommen,7321
bewachen,auf ein Wild bei der Treibjagd lauern,7550
doch,am Ende,9200
Heinzer,Katze,4116
Göckerlein,Specht,4210
Neune,die neun Kegel beim Kegeln,7340
Plempel,wertlose Gegenstände,9330
toll,"leer, unwohl",5700
Nachmittag,Nachmittag,9600
Gerstenhefekloß,Mehlspeise,5911
Bodenschanze,"Tragegefäß, um abgerutschte Ackererde wieder nach oben zu tragen",7735
Aprilenregen,Regen im April,2200
Salzstangelein,"Gebäck mit Salz, zum Samstag",5911
Abtrockenhader,"Tuch, mit dem man Geschirr abtrocknet",7740
Rahmkloß,Kartoffelpuffer aus gekochten Kartoffeln,5911
Hättel1,großes Schaf,4114
Heimat,das Zuhause,8160
Fröschchen,Anrede unter Verliebten,6332
aufkrachen,"Ausdruck für ""die Sonne brennt herunter""",2100
Knoppern,ein dicker und sehr kleiner Mann,5142
verkehrt,ungeschickt,5230
Zunge,Zunge (in Redensart),5360
Schusseriger,"Mensch, der sich übereilt und dadurch alles verkehrt macht",6114
Adelheid,Adelheid weiblicher Vorname,7120
Gehst-mich-hinhinter,Gehrock,5933
Bämber,Saugbeutel für Kleinkinder,5830
Ofentopf,Warmwasserbehälter im Herd,7750
Pflätsch,stehendes oder abfließendes Wasser infolge von starkem Regen,2200
weihnachten,"unwirtlich, winterlich sein vom Wetter",2200
Schale,Tasse,7735
Wurstkrack,"Person, die gern und viel Wurst isst",6116
ältern,"muffig, abgestanden riechen",5430
ausraffeln,den Trog von Futterresten reinigen,7450
Wirrbüschel,auf die Tenne gefallene Futter- oder Getreidereste,7440
Kronkork,Kronkorken auf der Bierflasche,5920
Bock1,Dreschmaschine mit Handantrieb,7402
Weihnachten,Weihnachten,7310
waschen,reinigen mit Wasser (in Redensart),5940
Hauptbeet,"Pflugwende, Abteilung des Ackers, auf der der Pflug gewendet wird",7420
Scharre,stumpfes Messer (pejorativ),7736
Wäschestängel,Trockenstange für Wäsche,7770
Gelauferi,"Urin, der im Freien gelassen wird",5340
heppet,elend,5210
Wespe,Anrede unter Verliebten,6332
Ständel,Bier (Scherz),5920
Röte,"Ackererde, die einen Rotton aufweist",2700
alt,"Strohbüschel, das derjenige aus Spott bekam, der den letzten Flegelschlag beim Dreschen getan hat",7220
Küchenbrett,Schrank für Kochutensilien,7740
abnehmet,"kleiner werdend, an Umfang abnehmend",9800
Zufleiß,"Absicht, Mutwille",7030
abblatten,Obst pflücken,7480
fertigmachen,jemanden zur Verzweiflung bringen,6320
Affe,Dummkopf,6111
weitergehen,seine Fortsetzung finden,9800
Hörnerschlitten,"Rodel-, Kinderschlitten, bei dem die Kufen vorn im 90°-Winkel hochgebogen sind",7405
Aminegerlein,heute als rassistisch einzustufende Bezeichnung für ein Kind aus einer Beziehung zwischen einer deutschen Frau und einem Schwarzen US-amerikanischen Soldaten (pejor),6111
Kartoffelroder,Kartoffelpflug mit Schleudergabeln,7404
Lumpenkammer,"Abstellraum, Raum voller Gerümpel",7720
Katze,"Gefäß, in dem Bier ausgeschenkt wird; Maßeinheit für Bier",7735
Dörner,Heckenrose,3210
Pflaster,Pflaster (in Redensart),5700
krachen,"einen Krach verursachen, auslösen (in Redensart)",5420
Wurstfleisch,"Wurstteig, Wurstfüllung",7565
Traumel,"ein langsamer, unbeholfener, ewig unentschlossener Mensch",5120
wiederlugen,Wiederschauen Abschiedsgruß,7351
Schlotter,Haut auf der gekochten Milch,7455
zottelets,"wirr, ungekämmt (Haar)",5940
Zöberlein,Familienname,7110
zusammenstopfeln,"sich unschön, unvorteilhaft kleiden",5932
abhinhieben,Prasseln des Regens an die Scheibe,2200
weismachen,"jemanden beschwindeln, zum Narren halten",6530
Grieche,Grieche,8160
Wackerstein,vom Acker abgelesener Stein,2910
was,jemandem eine Arbeit anweisen,1130
Gräberblume,Chrysantheme,3800
Tragschlitten,Lastschlitten,7405
Flederwisch,Handbesen,7790
Übergespannter,"einer, der sich überall wichtigmacht",6119
Gelürch,"Gerümpel, Kram",9320
Balg1,Spreu vom Hafer,3300
Kaiser,Titel des höchsten Herrschers in bestimmten Monarchien (in Redensart),8210
Handschuh,Handschuh (in Redensart),5932
warm,"warm, von Speisen",5911
Zündplättlein,Zündhütchen,8500
abribbeln,die Haut mit dem Handtuch stark abreiben,5940
Kinzenlälle,nicht ernst zu nehmende Person,6117
Gepossel,"Gartenarbeit, die zum Zeitvertreib verrichtet wird",7480
Wassergraben,Entwässerungsgraben ziehen,7900
Angstschrei,Schrei aus Schrecken,5560
reißen,reißen,9130
Abkoslumpen,Waschlappen,5940
verkrümpelt,von Krankheit gezeichnet,5700
Brieslaub,Schnittlauch,3700
spielen,Fußball spielen (spöttisch),7340
zähmaulig,wortkarg,7200
Bütze,Brüste,5200
Eck,Familienname,7110
Tapperer,gebrechlicher Mann,5145
Grand,Wasserbassin,7735
angegangen,"kernfaul, von Holz",7550
Dotsche,Frau (pejor),6111
Kleiderbrett,Vorrichtung zum Aufhängen von Kleidern,7730
daherreden,"plappern, sinnlos reden",7210
Mistzeile,"Längsstreifen des Ackers, den der Sämann in einem Gang besät",7440
Stiftlein,kleiner Schuhnagel aus Holz,7540
Kugelstein,vom Acker abgelesener Stein,2910
Geschlampete,"nachlässige, weibliche Person, die unordentlich arbeitet",6134
Schafstall,Anbau ans Haus für die Schafe,7410
Milchhafen,"Gefäß, in das gemolken wird",7735
Kniescheibenantrieb,Antrieb mit dem man Fahrrad fährt (Spott),7820
Saurüssel,Breitwegerich Plantago major,3500
Tierlein,"Person, Charakter",6110
Wotschebär,"Schreckgestalt, Kinderschreck",7350
Fetzen,"junge Frau, Mädchen, die bzw. das sexuell sehr aktiv ist und wechselnde Partner hat (pejor)",6136
Faulenzerin,schlechte Schülerin,6137
froschnacket,völlig nackt,9240
Röstgrundbirne,"in Scheiben geschnittene und in Fett angebratene gekochte Kartoffeln, Bratkartoffeln",5911
abnagen,abgenützt,9330
Tränkig,weichgekochtes oder gewässertes Schweinefutter,7450
Scharrte,Gerät zum Zusammenkratzen der Teigreste beim Backen,7740
Wäsche,Wäsche,7770
ausasten,Äste von einem (gefällten) Baum entfernen,7550
Rüssel,vorderster Teil des Schweinerüssels,4010
Völker,Familienname,7110
herunterbeten,durch Beten vom Himmel auf die Erde holen,8800
Bocksfuß,Klumpfuß,5210
aufreißen,aufsperren (Mund) (in Redensart),9200
gemein,"schlecht, gemein, niederträchtig",6280
Tobel,ausgeatmeter Tabakrauch,5921
strampeln,beim Radfahren in die Pedale treten,7820
Tunkesel,"Kellerassel (Porcellio scaber), Mauerassel Oniscus asellus",4600
Maulaufreißer,Wortführer in einer Gruppe von Menschen,6118
rotzig,"schleimig, schmierig",9230
Ichmensch,streitsüchtige Person,6112
raffen,"Flachs, Hanf bearbeiten",7500
Happenpappen,kleine Portion einer Speise zur Anregung des Appetits oder als Kostprobe,5440
hexen,jemandem etwas durch schwarze Magie antun,8810
Schmutter,in der Haut,5210
mahlen,durch Mahlen zerkleinern,7580
Blutrose,Pfingstrose,3800
Bitzelwasser,scherzhafte Bezeichnung für Limonade,5920
derlügen,lügen,6530
Wischtüchlein,Taschentuch,5932
Knärrling,"Knabe, der besonders klein und mager ist",5142
Geschleif2,(fortwährendes) schweres Tragen,7800
nahegehen,schmerzlich berühren,6320
knorzen,verdrehtes Wachstum aufweisend,9220
Salz,Salz,5910
haben,vollführen,9800
Liter,Maßeinheit,9350
Gehälter,Schrank zum Aufbewahren von Lebensmitteln,7740
Stall,Abendessen,5910
Widerhilfe,gegenseitige Unterstützung,7010
Wassertrager,"Schöntuer, Liebediener",6540
Bienenstock,Bienenstock (in Redensart),4700
Urviech,verschrobener Mensch mit komischen Ideen,6110
Gelürch,Durcheinander von Gegenständen,9320
schwarz,"düster, dunkel",2100
Zunder,"besonders aus dem getrockneten und präparierten Fruchtkörper des Zunderschwamms bestehendes, leicht brennbares Material, das zum Feueranzünden verwendet wird",9235
böckeln,kämpfen von Ziegen gegeneinander,4115
hinanspreußen,"etwas mit Pflöcken abstützen, zum Beispiel eine Mauer, einen Balken oder übervolle Obstbaumäste",7500
Bein,aufgebogener Teil der Schlittenkufe,7405
verwurgen,"durcheinander bringen, verstrubbeln (Haare)",5940
Zusatzfutter,"Futter, das man den Schweinen zusätzliche gab",4110
Platte,Kopf,5200
geradeanrennen,rücksichtslos auf sein Ziel losgehen,6430
hocken,"sitzen, sich aufhalten",5500
Besen,Zigarette minderer Qualität,5921
Auge,"Auge, Sehorgan",5410
Sparr,"Mann, der ununterbrochen redet, sich gern reden hört",6126
Sensenhaupt,Teil der Sense,7402
Staubseicher,schwärzlicher Bovist im Alterszustand,3510
hinterbringen,"verpetzen, denunzieren",6540
sekkieren,quälen,6320
"anmanteln, sich",sich warm anziehen,5930
Winter,Winter,2500
auswärts,außerhalb der Ehe,7321
Kissenleinküchlein,"Schmalzgebäck, das traditionell zu Kirchweih gebacken wird",5911
selbtdauß,abseits,9500
angeifern,streiten,6333
Wecklein,Milchbrötchen,7560
zusammenscheißen,schimpfen,6333
Reis,Zweig,3010
krächsen,bei großer Anstrengung stöhnen,5360
Herrnpilz,Steinpilz,3510
Dreher,"Mädchen, das besonders kräftig aussieht",5163
prahlen,"angeben, sich rühmen",6280
Eigener,verschrobener Mensch mit komischen Ideen,6110
Erdbirnenknödelein,Kartoffelpuffer-Sorte,5911
Linse,Geldmittel,7600
Winseln,Weinen,6320
Holzbeilein,Handbeil (kurzer Stiel),7505
herumhetschen,schluchzen,6320
verkommen,ungepflegt,5940
durcheinanderbringen,"verwechseln, in Unordnung bringen (in Redensart)",9320
lundern,bullern von Feuer,9235
Gewalt,"Druck, der hinter einem Wurf (z. B. Steinwurf) sitzt",9230
Rainschwamm,Pilzart,3510
Äpfeltasche,"Apfelscheiben, in Teig gewendet und gebacken",5911
erwarten,"erhoffen, sich versprechen",6450
Geschirr,Zuggeschirr (redensartlich für: Ehestand),7403
Popel,"Gespenst, vermummte Gestalt",7350
schwären,das Absondern von Ausfluss aus den Geschlechtsorganen der Kuh während der Trächtigkeit,4111
Paar,"zwei Menschen, Tiere oder Dinge, die zusammengehören",9312
Klammhaken,"grober Mensch, Grobian",6100
Braus,Braus (in Redensart),7300
Kälberkuh,"Kuh, die vor Kurzem gekalbt hat",4111
Stachelstecken,"Stange mit Dorn an einem Ende, mit der sich Kinder durch Abstoßen mit dem Schlitten auf dem Eis vorwärts bewegen",7360
dazwischenhinein,inzwischen,9600
bestes,gut,9240
Schneewasser,das durch Abtauen von Eis entstehende Wasser,9233
Käserufte,das harte Äußere am Käse,7455
Pamper,minderwertiges Obst,3120
Grätscheit,"Lenkscheit, Balken, der die Deichselarme am hinteren Ende verbindet",7403
Schlampsau,"Person, die flüchtig arbeitet",6114
"einbuscheln, sich",sich warm anziehen,5930
zunageln,Latten unter die Deckenbalken nageln,7520
allfort,"immerzu, fortdauernd",9600
Schleiße,"kleine, magere Frau",5160
immerzu,"ständig, fortwährend",9400
Kühebatzen,Kuhfladen,4111
angehen,"anwachsen, beginnen Wurzeln zu treiben",3020
dauerndzu,"immerzu, unentwegt",9400
Kälberschaf,"junges Schaf, das schon fortpflanzungsfähig ist, aber noch nicht gelammt hat",4114
Wiese,die Grasnarbe als Ganzes,3020
können,können (in Redensart),6450
weich,"weich, locker, schlaff",9230
Specksau,eine dicke und dabei sehr kleine Frau,5162
rups,rups (in Redensart),1220
Holzstange,Trockenstange für Wäsche,7770
jeder,jede Person,1130
Zuckersteinpapierlein,"Papierchen, in das man Bonbons wickelt",5920
Häpperl,Lockruf für Ziegen,7450
aufjöchen,Rind(er) einspannen,7403
Kleiderschrank,grobschlächtiger Mann,5140
Spratz,"Prahler, eingebildeter Mensch, Gernegroß",6119
Plätze,aus der Grasnarbe herausgestochenes ziegelförmiges Stück Erde,7420
aufhockeln,ein Kind auf den Schultern umhertragen,7360
herumschwärteln,oberflächliches Pflügen nach der Ernte,7440
tagdieben,nutzlos vor sich hinarbeiten,6430
ab,(gewaltsam) vom Rumpf getrennt,9311
zurückbinden,Kalb der Kuh entwöhnen,4111
Hockerlein,"Rodel-, Kinderschlitten",7405
Drusch,nasse Stelle auf einer Bergwiese,2700
Eimerlein,"Gefäß, in das gemolken wird",7735
Zeug,Material,9230
Hackklotz,spröder Bursche,6121
Rucksack,ein Kind auf den Schultern umhertragen,7360
Schübe,Schrank für Kochutensilien,7740
Rehlein,Anrede unter Verliebten,6332
einnageln,Latten unter die Deckenbalken nageln,7520
derwischen,"abbekommen, in Mitleidenschaft ziehen",9130
abheißen,jemanden anschreien,6333
"aushinlehnen, sich",sich hinausbeugen,5550
pechrabenschwarz,tiefschwarz,9231
spielen,(als Sport) ein bestimmtes Ballspiel o. Ä. spielen,7340
Maulanhänger,"Person, die einer anderen gegenüber unmissverständlich ihren Unwillen äußert",6116
Trollelein,Zäpfchen am Hals der Ziege (appendices colli),4115
Kinderschlitten,"Rodelschlitten, bei dem die Kufen vorn im 90°-Winkel hochgebogen sind",7405
nachsagen,über einen anderen schimpfen,6333
beißig,"widerspenstig, halsstarrig",6280
fort,"weg, weiter",9500
Kammerfenster,"Fenster der Kammer, des Schlafzimmers",7720
richtig,"ziemlich, erheblich",9400
Räuber,"Mensch, der etwas gestohlen hat",8320
auslassen,Speck schmelzen,7740
Austrag,Entscheidung in einem Rechtsstreit,8300
Perleinpilz,Perlpilz,3510
Sämaschinlein,Gerät zum Kleesäen,7402
näsen,etwas Unangenehmes sagen,6421
Geschirrtuch,"Tuch, das man beim Geschirrspülen benutzt",7740
armselig,"seelig, einen Arm zum Festhalten zu haben",6310
Zipfel,"auffallend hässlicher, kitschiger Damenhut",5936
ferndig,im vergangenen Jahr zur Welt gekommen,4000
Mordskrawall,lautstarkes Schimpfen,6333
Schwalbe,gilt im Erhebungsort als Wettervogel,4210
Buntspecht,"Specht mit leuchtend buntem, überwiegend rotem Gefieder",4210
hinanrainen,auf die Wiese oder den Rain beim Pflügen hinausgetretene Erde auf den Acker zurückstreifen,7430
Abtrieb,Kahlschlag,7550
zängerlich,sauer,9230
f,"Ausruf des Schmerzes, wenn man etwas Heißes angefasst hat",1230
Unding1,"Unsinn, Unangebrachtes",6270
Anwandet,"Randstreifen an der Schmalseite eines Ackers, auf dem der Pflug gewendet wird",7440
"Magen ruinieren, sich",sich den Magen verderben,5340
blasen,etwas zuflüstern,5360
Pimperleinsarbeit,Arbeit an oder mit kleinen Dingen,7500
offen,geöffnet,9200
abschlagen,Heiratsantrag abweisen,6440
Kammerwagen,"hölzerner Leiterwagen, auf dem das Heiratsgut der Braut transportiert wurde",7321
Mal,durch eine bestimmte Angabe oder Reihenfolge gekennzeichneter Zeitpunkt,9600
großgoschig,"prahlerisch, großsprecherisch",6280
Starenskobel,Nistkasten für Stare,4030
abklauben,jemandem Geld beim Spiel abgewinnen,7390
eichen,aus Eiche,7520
Starke,"Mädchen, das besonders kräftig aussieht",5163
sekkieren,"jemanden plagen, quälen",6333
Sprengkeil,Keil mit dem große Holzstücke zerteilt werden,7520
Holzstoß,"Holzstapel, Schichtholzbank",7550
An-mich-hinan-Schlüpfelein,Geliebte(r),6332
Schoßhündchen,zierlicher Hund,4117
Ballenkloß,Kartoffelpuffer,5911
Eisenfreund,"die, die gerne Eisen kaufen",6115
Kehlkopf,vorspringender Kehlkopf,5210
geh-mit,Ruf des Totenvogels,4200
einreiben,in etwas hinein reiben,9315
Krawaller,"Person, die (unentwegt) schimpft",6110
